Child_ID,SoC_variant,theta,p_gen,true_prior,run_number,seed,attempts,unique_key_box_pairs,revisit_attempts,revisit_rate,attempts_before_abandoning_color_matching,color_matching_abandoned,boxes_opened,solved,final_theta,trajectory_file
D086,SoC-Full,"(1, 2)",0.9,0.02,1,1351319660073422861,70,22,48,0.6956521739130435,1,True,2,False,0.2359149505966937,SoC-Full\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_001.json
D086,SoC-Full,"(1, 2)",0.9,0.02,2,4136913920073091525,20,19,1,0.05263157894736842,0,True,5,True,0.711111111111111,SoC-Full\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_002.json
D086,SoC-Full,"(1, 2)",0.9,0.02,3,6250116612826401709,25,22,3,0.125,0,True,5,True,0.6864859517214089,SoC-Full\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_003.json
D086,SoC-Full,"(1, 2)",0.9,0.02,4,1300541399452230936,65,37,28,0.4375,0,True,5,True,0.6558704453441295,SoC-Full\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_004.json
D086,SoC-Full,"(1, 2)",0.9,0.02,5,6159518095962357565,59,16,43,0.7413793103448276,0,True,5,True,0.4680130472164311,SoC-Full\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_005.json
D086,SoC-Full,"(1, 2)",0.9,0.02,6,4574881450547920689,70,22,48,0.6956521739130435,0,True,1,False,0.1745160258990237,SoC-Full\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_006.json
D086,SoC-Full,"(1, 2)",0.9,0.02,7,3222388713780018897,30,25,5,0.1724137931034483,0,True,5,True,0.6279154648791205,SoC-Full\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_007.json
D086,SoC-Full,"(1, 2)",0.9,0.02,8,9067878972223297520,70,17,53,0.7681159420289855,1,True,1,False,0.1588839746347357,SoC-Full\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_008.json
D086,SoC-Full,"(1, 2)",0.9,0.02,9,4103181512106533684,70,20,50,0.7246376811594203,0,True,2,False,0.23116465782998355,SoC-Full\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_009.json
D086,SoC-Full,"(1, 2)",0.9,0.02,10,3370622372274844216,26,24,2,0.08,0,True,5,True,0.6383633193583821,SoC-Full\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_010.json
D086,SoC-Full,"(1, 2)",0.9,0.02,11,8928422388851506342,19,16,3,0.16666666666666666,0,True,5,True,0.6548262855948975,SoC-Full\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_011.json
D086,SoC-Full,"(1, 2)",0.9,0.02,12,2494562687763422525,32,22,10,0.3225806451612903,2,True,5,True,0.6818181818181818,SoC-Full\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_012.json
D086,SoC-Full,"(1, 2)",0.9,0.02,13,4580529311587047972,70,14,56,0.8115942028985508,0,True,0,False,0.0852369295069686,SoC-Full\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_013.json
D086,SoC-Full,"(1, 2)",0.9,0.02,14,5432927888813509564,30,25,5,0.1724137931034483,0,True,5,True,0.6674611138706878,SoC-Full\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_014.json
D086,SoC-Full,"(1, 2)",0.9,0.02,15,4299317592614529254,70,23,47,0.6811594202898551,1,True,2,False,0.28312443656799685,SoC-Full\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_015.json
D086,SoC-Full,"(1, 2)",0.9,0.02,16,8508344268534764613,42,25,17,0.4146341463414634,0,True,5,True,0.6923076923076923,SoC-Full\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_016.json
D086,SoC-Full,"(1, 2)",0.9,0.02,17,3511228284294136798,20,19,1,0.05263157894736842,0,True,5,True,0.6540084388185654,SoC-Full\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_017.json
D086,SoC-Full,"(1, 2)",0.9,0.02,18,4895927848147358421,70,31,39,0.5652173913043478,0,True,3,False,0.4034175208708438,SoC-Full\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D086__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_018.json
