Child_ID,SoC_variant,theta,p_gen,true_prior,run_number,seed,attempts,unique_key_box_pairs,revisit_attempts,revisit_rate,attempts_before_abandoning_color_matching,color_matching_abandoned,boxes_opened,solved,final_theta,trajectory_file
D047,SoC-Gen,"(19, 1)",0.5,0.02,1,1120375316626360493,16,15,1,0.06666666666666667,1,True,5,True,0.9562836997096641,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_001.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,2,4267200017718762495,24,24,0,0.0,2,True,5,True,0.9464122534977866,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_002.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,3,8369160744506092924,32,25,7,0.22580645161290322,1,True,5,True,0.9247770017925587,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_003.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,4,3429695503451609307,29,29,0,0.0,1,True,5,True,0.9588477366255144,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_004.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,5,1760463371868208478,25,25,0,0.0,3,True,5,True,0.9444444444444444,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_005.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,6,723358582110663858,22,22,0,0.0,2,True,5,True,0.9588477366255144,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_006.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,7,4842110477742686975,12,12,0,0.0,2,True,5,True,0.9562439698557981,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_007.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,8,3789091017170787018,18,18,0,0.0,3,True,5,True,0.9574196542522335,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_008.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,9,6038927282446293349,26,26,0,0.0,1,True,5,True,0.9560222893646879,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_009.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,10,2437377728064599085,20,20,0,0.0,1,True,5,True,0.958904109589041,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_010.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,11,7626415474831016838,23,23,0,0.0,1,True,5,True,0.9528301886792452,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_011.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,12,5523628230608291667,9,9,0,0.0,2,True,5,True,0.9581343809811624,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_012.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,13,5500330780731807936,23,23,0,0.0,1,True,5,True,0.9551020408163264,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_013.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,14,3648243711477827341,15,15,0,0.0,3,True,5,True,0.9558467373111589,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_014.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,15,5520766369021476334,26,26,0,0.0,1,True,5,True,0.9346666666666666,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_015.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,16,7952628335649312884,23,22,1,0.045454545454545456,2,True,5,True,0.9272083098478138,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_016.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,17,4321445742021976217,15,15,0,0.0,2,True,5,True,0.9561605183404744,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_017.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,18,2723348005996077707,25,24,1,0.041666666666666664,2,True,5,True,0.9446650124069479,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_018.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,19,2005573898918976776,20,18,2,0.10526315789473684,1,True,5,True,0.941710896467621,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_019.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,20,5858399921300721778,39,36,3,0.07894736842105263,1,True,5,True,0.9540125065138093,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_020.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,21,3176685947927393501,21,21,0,0.0,1,True,5,True,0.9504827536141705,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_021.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,22,4838329138609258179,38,34,4,0.10810810810810811,1,True,5,True,0.9302895581934144,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_022.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,23,4415836647554239408,18,18,0,0.0,2,True,5,True,0.9574330164217805,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_023.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,24,1785514098938606384,36,33,3,0.08571428571428572,2,True,5,True,0.9512855209742896,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_024.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,25,4798020377908937775,24,23,1,0.043478260869565216,1,True,5,True,0.9534883720930233,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_025.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,26,3582272958918795533,24,24,0,0.0,1,True,5,True,0.9562841530054645,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_026.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,27,2279740868392891905,23,23,0,0.0,2,True,5,True,0.9525813213259839,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_027.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,28,5853977329985472965,13,13,0,0.0,2,True,5,True,0.957503551921899,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_028.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,29,6892633588044567480,15,15,0,0.0,3,True,5,True,0.9561643835616438,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_029.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,30,7228366719170409378,17,17,0,0.0,1,True,5,True,0.9578516710774795,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_030.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,31,6393692683326110998,11,11,0,0.0,1,True,5,True,0.9582737444266846,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_031.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,32,3851517935570526317,23,23,0,0.0,1,True,5,True,0.9500674763832658,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_032.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,33,2565633709864853682,13,13,0,0.0,1,True,5,True,0.9563934759757214,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_033.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,34,5125118434922551594,18,18,0,0.0,1,True,5,True,0.9386666666666666,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_034.json
D047,SoC-Gen,"(19, 1)",0.5,0.02,35,7521775431744584138,26,25,1,0.04,2,True,5,True,0.9347536617842876,SoC-Gen\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02\D047__SoC-Gen__theta_19_1__pgen_0.5__prior_0.02__run_035.json
