theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(3,1)",0.6,0.02,1,0.63,0.37,0.0,0.0,0.0,0.0
"(3,1)",0.6,0.02,2,0.29,0.71,0.0,0.0,0.0,0.0
"(3,1)",0.6,0.02,3,0.21,0.66,0.13,0.0,0.0,0.0
"(3,1)",0.6,0.02,4,0.18,0.52,0.27,0.03,0.0,0.0
"(3,1)",0.6,0.02,5,0.16,0.42,0.35,0.07,0.0,0.0
"(3,1)",0.6,0.02,6,0.13,0.4,0.35,0.12,0.0,0.0
"(3,1)",0.6,0.02,7,0.12,0.35,0.39,0.14,0.0,0.0
"(3,1)",0.6,0.02,8,0.11,0.3,0.37,0.18,0.04,0.0
"(3,1)",0.6,0.02,9,0.1,0.25,0.38,0.17,0.09,0.01
"(3,1)",0.6,0.02,10,0.08,0.25,0.33,0.18,0.15,0.01
"(3,1)",0.6,0.02,11,0.06,0.22,0.34,0.17,0.17,0.04
"(3,1)",0.6,0.02,12,0.06,0.17,0.36,0.17,0.16,0.08
"(3,1)",0.6,0.02,13,0.05,0.17,0.31,0.2,0.17,0.1
"(3,1)",0.6,0.02,14,0.05,0.16,0.29,0.19,0.17,0.14
"(3,1)",0.6,0.02,15,0.05,0.13,0.27,0.23,0.16,0.16
"(3,1)",0.6,0.02,16,0.05,0.12,0.27,0.22,0.16,0.18
"(3,1)",0.6,0.02,17,0.05,0.11,0.24,0.24,0.16,0.2
"(3,1)",0.6,0.02,18,0.05,0.11,0.21,0.24,0.16,0.23
"(3,1)",0.6,0.02,19,0.04,0.11,0.17,0.26,0.15,0.27
"(3,1)",0.6,0.02,20,0.04,0.11,0.15,0.26,0.14,0.3
"(3,1)",0.6,0.02,21,0.04,0.08,0.18,0.19,0.13,0.38
"(3,1)",0.6,0.02,22,0.04,0.07,0.18,0.19,0.1,0.42
"(3,1)",0.6,0.02,23,0.04,0.07,0.17,0.12,0.17,0.43
"(3,1)",0.6,0.02,24,0.04,0.06,0.17,0.12,0.12,0.49
"(3,1)",0.6,0.02,25,0.04,0.06,0.15,0.11,0.1,0.54
"(3,1)",0.6,0.02,26,0.04,0.06,0.13,0.11,0.12,0.54
"(3,1)",0.6,0.02,27,0.04,0.06,0.11,0.09,0.15,0.55
"(3,1)",0.6,0.02,28,0.04,0.06,0.1,0.1,0.09,0.61
"(3,1)",0.6,0.02,29,0.04,0.06,0.1,0.09,0.09,0.62
"(3,1)",0.6,0.02,30,0.04,0.06,0.1,0.06,0.09,0.65
"(3,1)",0.6,0.02,31,0.04,0.06,0.1,0.05,0.1,0.65
"(3,1)",0.6,0.02,32,0.04,0.06,0.1,0.05,0.08,0.67
"(3,1)",0.6,0.02,33,0.04,0.06,0.1,0.05,0.05,0.7
"(3,1)",0.6,0.02,34,0.04,0.05,0.09,0.06,0.06,0.7
"(3,1)",0.6,0.02,35,0.04,0.05,0.09,0.06,0.04,0.72
"(3,1)",0.6,0.02,36,0.04,0.04,0.1,0.05,0.04,0.73
"(3,1)",0.6,0.02,37,0.03,0.05,0.09,0.04,0.06,0.73
"(3,1)",0.6,0.02,38,0.03,0.05,0.09,0.04,0.03,0.76
"(3,1)",0.6,0.02,39,0.03,0.05,0.09,0.04,0.02,0.77
"(3,1)",0.6,0.02,40,0.03,0.04,0.1,0.04,0.02,0.77
"(3,1)",0.6,0.02,41,0.03,0.04,0.09,0.04,0.01,0.79
"(3,1)",0.6,0.02,42,0.03,0.04,0.08,0.05,0.01,0.79
"(3,1)",0.6,0.02,43,0.03,0.04,0.08,0.05,0.0,0.8
"(3,1)",0.6,0.02,44,0.03,0.04,0.08,0.02,0.03,0.8
"(3,1)",0.6,0.02,45,0.03,0.03,0.08,0.03,0.02,0.81
"(3,1)",0.6,0.02,46,0.03,0.03,0.08,0.03,0.01,0.82
"(3,1)",0.6,0.02,47,0.03,0.03,0.08,0.03,0.0,0.83
"(3,1)",0.6,0.02,48,0.03,0.03,0.08,0.03,0.0,0.83
"(3,1)",0.6,0.02,49,0.03,0.03,0.05,0.06,0.0,0.83
"(3,1)",0.6,0.02,50,0.03,0.02,0.06,0.06,0.0,0.83
"(3,1)",0.6,0.02,51,0.03,0.02,0.05,0.07,0.0,0.83
"(3,1)",0.6,0.02,52,0.03,0.02,0.05,0.06,0.01,0.83
"(3,1)",0.6,0.02,53,0.03,0.02,0.05,0.05,0.02,0.83
"(3,1)",0.6,0.02,54,0.03,0.02,0.04,0.06,0.02,0.83
"(3,1)",0.6,0.02,55,0.03,0.02,0.04,0.06,0.02,0.83
"(3,1)",0.6,0.02,56,0.03,0.02,0.04,0.06,0.02,0.83
"(3,1)",0.6,0.02,57,0.03,0.02,0.03,0.04,0.03,0.85
"(3,1)",0.6,0.02,58,0.03,0.02,0.03,0.04,0.03,0.85
"(3,1)",0.6,0.02,59,0.03,0.02,0.03,0.03,0.04,0.85
"(3,1)",0.6,0.02,60,0.03,0.02,0.03,0.03,0.03,0.86
"(3,1)",0.6,0.02,61,0.03,0.02,0.03,0.02,0.04,0.86
"(3,1)",0.6,0.02,62,0.03,0.02,0.03,0.02,0.04,0.86
"(3,1)",0.6,0.02,63,0.03,0.02,0.03,0.02,0.03,0.87
"(3,1)",0.6,0.02,64,0.03,0.02,0.03,0.02,0.01,0.89
"(3,1)",0.6,0.02,65,0.03,0.02,0.03,0.02,0.0,0.9
"(3,1)",0.6,0.02,66,0.03,0.02,0.03,0.02,0.0,0.9
"(3,1)",0.6,0.02,67,0.03,0.02,0.03,0.02,0.0,0.9
"(3,1)",0.6,0.02,68,0.03,0.02,0.03,0.02,0.0,0.9
"(3,1)",0.6,0.02,69,0.03,0.02,0.03,0.02,0.0,0.9
"(3,1)",0.6,0.02,70,0.03,0.02,0.03,0.02,0.0,0.9
