theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(5,1)",0.6,0.02,1,0.53,0.47,0.0,0.0,0.0,0.0
"(5,1)",0.6,0.02,2,0.34,0.66,0.0,0.0,0.0,0.0
"(5,1)",0.6,0.02,3,0.26,0.59,0.15,0.0,0.0,0.0
"(5,1)",0.6,0.02,4,0.23,0.54,0.22,0.01,0.0,0.0
"(5,1)",0.6,0.02,5,0.18,0.54,0.22,0.06,0.0,0.0
"(5,1)",0.6,0.02,6,0.17,0.45,0.28,0.09,0.01,0.0
"(5,1)",0.6,0.02,7,0.13,0.4,0.33,0.12,0.02,0.0
"(5,1)",0.6,0.02,8,0.13,0.33,0.36,0.13,0.05,0.0
"(5,1)",0.6,0.02,9,0.11,0.3,0.37,0.13,0.09,0.0
"(5,1)",0.6,0.02,10,0.1,0.26,0.33,0.2,0.11,0.0
"(5,1)",0.6,0.02,11,0.08,0.24,0.28,0.25,0.13,0.02
"(5,1)",0.6,0.02,12,0.08,0.2,0.29,0.26,0.13,0.04
"(5,1)",0.6,0.02,13,0.07,0.17,0.3,0.25,0.15,0.06
"(5,1)",0.6,0.02,14,0.07,0.15,0.23,0.29,0.13,0.13
"(5,1)",0.6,0.02,15,0.07,0.13,0.21,0.3,0.13,0.16
"(5,1)",0.6,0.02,16,0.06,0.13,0.2,0.3,0.14,0.17
"(5,1)",0.6,0.02,17,0.06,0.09,0.21,0.27,0.17,0.2
"(5,1)",0.6,0.02,18,0.06,0.07,0.19,0.25,0.2,0.23
"(5,1)",0.6,0.02,19,0.05,0.07,0.17,0.22,0.2,0.29
"(5,1)",0.6,0.02,20,0.05,0.07,0.16,0.19,0.18,0.35
"(5,1)",0.6,0.02,21,0.04,0.07,0.16,0.16,0.18,0.39
"(5,1)",0.6,0.02,22,0.04,0.07,0.12,0.16,0.19,0.42
"(5,1)",0.6,0.02,23,0.03,0.08,0.11,0.13,0.17,0.48
"(5,1)",0.6,0.02,24,0.02,0.09,0.1,0.12,0.14,0.53
"(5,1)",0.6,0.02,25,0.02,0.08,0.11,0.11,0.09,0.59
"(5,1)",0.6,0.02,26,0.02,0.08,0.08,0.11,0.1,0.61
"(5,1)",0.6,0.02,27,0.02,0.08,0.08,0.07,0.13,0.62
"(5,1)",0.6,0.02,28,0.02,0.08,0.06,0.07,0.11,0.66
