theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(2,1)",0.1,0.02,1,1.0,0.0,0.0,0.0,0.0,0.0
"(2,1)",0.1,0.02,2,1.0,0.0,0.0,0.0,0.0,0.0
"(2,1)",0.1,0.02,3,0.97,0.03,0.0,0.0,0.0,0.0
"(2,1)",0.1,0.02,4,0.88,0.1,0.02,0.0,0.0,0.0
"(2,1)",0.1,0.02,5,0.76,0.17,0.06,0.01,0.0,0.0
"(2,1)",0.1,0.02,6,0.65,0.2,0.11,0.04,0.0,0.0
"(2,1)",0.1,0.02,7,0.53,0.25,0.12,0.08,0.02,0.0
"(2,1)",0.1,0.02,8,0.41,0.27,0.15,0.12,0.05,0.0
"(2,1)",0.1,0.02,9,0.36,0.23,0.17,0.14,0.07,0.03
"(2,1)",0.1,0.02,10,0.31,0.21,0.13,0.19,0.1,0.06
"(2,1)",0.1,0.02,11,0.3,0.12,0.17,0.18,0.12,0.11
"(2,1)",0.1,0.02,12,0.26,0.13,0.16,0.16,0.15,0.14
"(2,1)",0.1,0.02,13,0.21,0.17,0.08,0.21,0.13,0.2
"(2,1)",0.1,0.02,14,0.2,0.14,0.08,0.13,0.16,0.29
"(2,1)",0.1,0.02,15,0.17,0.15,0.07,0.11,0.12,0.38
"(2,1)",0.1,0.02,16,0.17,0.12,0.07,0.1,0.11,0.43
"(2,1)",0.1,0.02,17,0.15,0.12,0.06,0.1,0.1,0.47
"(2,1)",0.1,0.02,18,0.15,0.1,0.04,0.11,0.09,0.51
"(2,1)",0.1,0.02,19,0.13,0.07,0.09,0.05,0.12,0.54
"(2,1)",0.1,0.02,20,0.09,0.09,0.06,0.07,0.11,0.58
"(2,1)",0.1,0.02,21,0.08,0.09,0.04,0.06,0.11,0.62
"(2,1)",0.1,0.02,22,0.08,0.08,0.05,0.04,0.08,0.67
"(2,1)",0.1,0.02,23,0.08,0.07,0.04,0.04,0.05,0.72
"(2,1)",0.1,0.02,24,0.08,0.07,0.04,0.03,0.06,0.72
"(2,1)",0.1,0.02,25,0.07,0.07,0.03,0.04,0.05,0.74
"(2,1)",0.1,0.02,26,0.07,0.04,0.04,0.05,0.03,0.77
"(2,1)",0.1,0.02,27,0.07,0.04,0.01,0.06,0.02,0.8
"(2,1)",0.1,0.02,28,0.07,0.04,0.01,0.03,0.03,0.82
"(2,1)",0.1,0.02,29,0.07,0.04,0.01,0.03,0.01,0.84
"(2,1)",0.1,0.02,30,0.07,0.04,0.01,0.03,0.0,0.85
"(2,1)",0.1,0.02,31,0.07,0.03,0.02,0.03,0.0,0.85
"(2,1)",0.1,0.02,32,0.07,0.03,0.02,0.03,0.0,0.85
