theta,gen,true_prior,run_number,trials_completed,boxes_opened,solved,final_theta
"(3,1)",0.7,0.02,1,16,5,True,0.8379918176569889
"(3,1)",0.7,0.02,2,70,1,False,0.29602381456486154
"(3,1)",0.7,0.02,3,29,5,True,0.8461440866753287
"(3,1)",0.7,0.02,4,49,5,True,0.7474048442906575
"(3,1)",0.7,0.02,5,33,5,True,0.7381458725980099
"(3,1)",0.7,0.02,6,70,4,False,0.7656365698445524
"(3,1)",0.7,0.02,7,66,5,True,0.7677317830547761
"(3,1)",0.7,0.02,8,18,5,True,0.8257575757575757
"(3,1)",0.7,0.02,9,23,5,True,0.8242422981962523
"(3,1)",0.7,0.02,10,32,5,True,0.84815278647464
"(3,1)",0.7,0.02,11,70,0,False,0.2256191536881658
"(3,1)",0.7,0.02,12,30,5,True,0.8525111975693773
"(3,1)",0.7,0.02,13,19,5,True,0.8666516319444764
"(3,1)",0.7,0.02,14,11,5,True,0.8739837398373983
"(3,1)",0.7,0.02,15,52,5,True,0.8695652173913043
"(3,1)",0.7,0.02,16,28,5,True,0.822316438620158
"(3,1)",0.7,0.02,17,15,5,True,0.8202247191011235
"(3,1)",0.7,0.02,18,16,5,True,0.8225806451612903
"(3,1)",0.7,0.02,19,70,1,False,0.2775279141245527
"(3,1)",0.7,0.02,20,24,5,True,0.8118081180811808
"(3,1)",0.7,0.02,21,27,5,True,0.816452451277802
"(3,1)",0.7,0.02,22,70,3,False,0.47519194986278873
"(3,1)",0.7,0.02,23,29,5,True,0.8174203273040482
"(3,1)",0.7,0.02,24,30,5,True,0.8616228929831439
"(3,1)",0.7,0.02,25,70,1,False,0.3260854403608991
"(3,1)",0.7,0.02,26,16,5,True,0.840705996522583
"(3,1)",0.7,0.02,27,16,5,True,0.8735177865612648
"(3,1)",0.7,0.02,28,34,5,True,0.7721160495950161
"(3,1)",0.7,0.02,29,49,5,True,0.7423640462870535
"(3,1)",0.7,0.02,30,16,5,True,0.8634587703063952
"(3,1)",0.7,0.02,31,16,5,True,0.8138726997238167
"(3,1)",0.7,0.02,32,26,5,True,0.7798051889756711
