theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(5,1)",0.4,0.02,1,0.85,0.15,0.0,0.0,0.0,0.0
"(5,1)",0.4,0.02,2,0.5,0.5,0.0,0.0,0.0,0.0
"(5,1)",0.4,0.02,3,0.29,0.63,0.08,0.0,0.0,0.0
"(5,1)",0.4,0.02,4,0.19,0.52,0.28,0.01,0.0,0.0
"(5,1)",0.4,0.02,5,0.14,0.41,0.34,0.1,0.01,0.0
"(5,1)",0.4,0.02,6,0.12,0.32,0.37,0.18,0.01,0.0
"(5,1)",0.4,0.02,7,0.09,0.3,0.36,0.2,0.05,0.0
"(5,1)",0.4,0.02,8,0.09,0.28,0.32,0.22,0.07,0.02
"(5,1)",0.4,0.02,9,0.07,0.24,0.31,0.23,0.12,0.03
"(5,1)",0.4,0.02,10,0.07,0.2,0.32,0.25,0.09,0.07
"(5,1)",0.4,0.02,11,0.07,0.17,0.29,0.26,0.11,0.1
"(5,1)",0.4,0.02,12,0.07,0.14,0.22,0.33,0.11,0.13
"(5,1)",0.4,0.02,13,0.06,0.12,0.23,0.31,0.14,0.14
"(5,1)",0.4,0.02,14,0.06,0.11,0.17,0.32,0.16,0.18
"(5,1)",0.4,0.02,15,0.06,0.09,0.17,0.27,0.21,0.2
"(5,1)",0.4,0.02,16,0.06,0.07,0.17,0.25,0.23,0.22
"(5,1)",0.4,0.02,17,0.06,0.07,0.13,0.27,0.14,0.33
"(5,1)",0.4,0.02,18,0.06,0.06,0.11,0.25,0.15,0.37
"(5,1)",0.4,0.02,19,0.05,0.07,0.07,0.21,0.18,0.42
"(5,1)",0.4,0.02,20,0.05,0.07,0.03,0.2,0.2,0.45
"(5,1)",0.4,0.02,21,0.05,0.06,0.04,0.15,0.19,0.51
"(5,1)",0.4,0.02,22,0.05,0.06,0.04,0.11,0.17,0.57
"(5,1)",0.4,0.02,23,0.05,0.06,0.01,0.12,0.16,0.6
"(5,1)",0.4,0.02,24,0.05,0.04,0.03,0.08,0.16,0.64
"(5,1)",0.4,0.02,25,0.05,0.04,0.02,0.07,0.14,0.68
"(5,1)",0.4,0.02,26,0.05,0.04,0.02,0.07,0.1,0.72
"(5,1)",0.4,0.02,27,0.05,0.04,0.01,0.08,0.09,0.73
"(5,1)",0.4,0.02,28,0.05,0.03,0.02,0.05,0.06,0.79
"(5,1)",0.4,0.02,29,0.05,0.03,0.02,0.04,0.06,0.8
"(5,1)",0.4,0.02,30,0.05,0.03,0.02,0.04,0.03,0.83
"(5,1)",0.4,0.02,31,0.05,0.03,0.02,0.04,0.02,0.84
"(5,1)",0.4,0.02,32,0.05,0.03,0.01,0.03,0.03,0.85
"(5,1)",0.4,0.02,33,0.05,0.03,0.01,0.03,0.02,0.86
"(5,1)",0.4,0.02,34,0.05,0.03,0.01,0.01,0.04,0.86
"(5,1)",0.4,0.02,35,0.05,0.03,0.01,0.01,0.04,0.86
"(5,1)",0.4,0.02,36,0.05,0.03,0.01,0.01,0.01,0.89
"(5,1)",0.4,0.02,37,0.05,0.02,0.02,0.01,0.01,0.89
"(5,1)",0.4,0.02,38,0.05,0.02,0.02,0.01,0.01,0.89
"(5,1)",0.4,0.02,39,0.05,0.02,0.01,0.02,0.0,0.9
"(5,1)",0.4,0.02,40,0.05,0.02,0.01,0.02,0.0,0.9
"(5,1)",0.4,0.02,41,0.05,0.02,0.01,0.02,0.0,0.9
"(5,1)",0.4,0.02,42,0.05,0.02,0.01,0.01,0.01,0.9
"(5,1)",0.4,0.02,43,0.05,0.02,0.01,0.01,0.01,0.9
"(5,1)",0.4,0.02,44,0.05,0.02,0.01,0.01,0.01,0.9
"(5,1)",0.4,0.02,45,0.05,0.02,0.01,0.01,0.0,0.91
"(5,1)",0.4,0.02,46,0.05,0.02,0.01,0.01,0.0,0.91
"(5,1)",0.4,0.02,47,0.05,0.02,0.01,0.01,0.0,0.91
"(5,1)",0.4,0.02,48,0.05,0.02,0.01,0.01,0.0,0.91
"(5,1)",0.4,0.02,49,0.05,0.02,0.01,0.01,0.0,0.91
"(5,1)",0.4,0.02,50,0.05,0.02,0.01,0.01,0.0,0.91
"(5,1)",0.4,0.02,51,0.05,0.02,0.01,0.01,0.0,0.91
"(5,1)",0.4,0.02,52,0.05,0.02,0.01,0.01,0.0,0.91
"(5,1)",0.4,0.02,53,0.05,0.02,0.01,0.01,0.0,0.91
"(5,1)",0.4,0.02,54,0.05,0.02,0.01,0.01,0.0,0.91
"(5,1)",0.4,0.02,55,0.05,0.02,0.01,0.01,0.0,0.91
"(5,1)",0.4,0.02,56,0.05,0.02,0.01,0.01,0.0,0.91
"(5,1)",0.4,0.02,57,0.05,0.02,0.01,0.0,0.01,0.91
"(5,1)",0.4,0.02,58,0.05,0.02,0.01,0.0,0.01,0.91
"(5,1)",0.4,0.02,59,0.05,0.02,0.01,0.0,0.01,0.91
"(5,1)",0.4,0.02,60,0.05,0.02,0.01,0.0,0.01,0.91
"(5,1)",0.4,0.02,61,0.05,0.02,0.01,0.0,0.01,0.91
"(5,1)",0.4,0.02,62,0.05,0.02,0.01,0.0,0.0,0.92
"(5,1)",0.4,0.02,63,0.05,0.02,0.01,0.0,0.0,0.92
"(5,1)",0.4,0.02,64,0.05,0.02,0.01,0.0,0.0,0.92
"(5,1)",0.4,0.02,65,0.05,0.02,0.01,0.0,0.0,0.92
"(5,1)",0.4,0.02,66,0.05,0.02,0.01,0.0,0.0,0.92
"(5,1)",0.4,0.02,67,0.05,0.02,0.01,0.0,0.0,0.92
"(5,1)",0.4,0.02,68,0.05,0.01,0.02,0.0,0.0,0.92
"(5,1)",0.4,0.02,69,0.05,0.01,0.01,0.01,0.0,0.92
"(5,1)",0.4,0.02,70,0.05,0.01,0.01,0.0,0.01,0.92
