theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(1,1)",0.1,0.02,67,0.06,0.03,0.0,0.03,0.01,0.87
"(1,1)",0.1,0.02,68,0.06,0.03,0.0,0.03,0.0,0.88
"(1,1)",0.1,0.02,69,0.06,0.03,0.0,0.03,0.0,0.88
"(1,1)",0.1,0.02,70,0.06,0.03,0.0,0.03,0.0,0.88
"(1,1)",0.2,0.02,1,1.0,0.0,0.0,0.0,0.0,0.0
"(1,1)",0.2,0.02,2,0.99,0.01,0.0,0.0,0.0,0.0
"(1,1)",0.2,0.02,3,0.98,0.01,0.01,0.0,0.0,0.0
"(1,1)",0.2,0.02,4,0.96,0.02,0.01,0.01,0.0,0.0
"(1,1)",0.2,0.02,5,0.89,0.08,0.02,0.01,0.0,0.0
"(1,1)",0.2,0.02,6,0.77,0.19,0.02,0.02,0.0,0.0
"(1,1)",0.2,0.02,7,0.64,0.3,0.04,0.02,0.0,0.0
"(1,1)",0.2,0.02,8,0.55,0.32,0.1,0.03,0.0,0.0
"(1,1)",0.2,0.02,9,0.49,0.33,0.13,0.04,0.01,0.0
"(1,1)",0.2,0.02,10,0.43,0.36,0.15,0.03,0.03,0.0
"(1,1)",0.2,0.02,11,0.37,0.35,0.18,0.06,0.04,0.0
"(1,1)",0.2,0.02,12,0.34,0.32,0.16,0.13,0.03,0.02
"(1,1)",0.2,0.02,13,0.28,0.35,0.14,0.16,0.04,0.03
"(1,1)",0.2,0.02,14,0.21,0.37,0.14,0.15,0.09,0.04
"(1,1)",0.2,0.02,15,0.18,0.31,0.19,0.14,0.11,0.07
"(1,1)",0.2,0.02,16,0.15,0.33,0.17,0.14,0.12,0.09
"(1,1)",0.2,0.02,17,0.13,0.31,0.18,0.14,0.12,0.12
"(1,1)",0.2,0.02,18,0.12,0.29,0.19,0.13,0.11,0.16
"(1,1)",0.2,0.02,19,0.11,0.27,0.19,0.12,0.11,0.2
"(1,1)",0.2,0.02,20,0.11,0.24,0.15,0.16,0.11,0.23
"(1,1)",0.2,0.02,21,0.09,0.25,0.11,0.21,0.07,0.27
"(1,1)",0.2,0.02,22,0.08,0.26,0.11,0.16,0.1,0.29
"(1,1)",0.2,0.02,23,0.08,0.23,0.12,0.15,0.12,0.3
"(1,1)",0.2,0.02,24,0.08,0.22,0.11,0.12,0.1,0.37
"(1,1)",0.2,0.02,25,0.08,0.22,0.08,0.11,0.11,0.4
"(1,1)",0.2,0.02,26,0.07,0.23,0.08,0.07,0.12,0.43
"(1,1)",0.2,0.02,27,0.07,0.21,0.1,0.07,0.07,0.48
"(1,1)",0.2,0.02,28,0.06,0.2,0.08,0.1,0.04,0.52
"(1,1)",0.2,0.02,29,0.04,0.21,0.07,0.11,0.04,0.53
"(1,1)",0.2,0.02,30,0.03,0.2,0.08,0.06,0.1,0.53
"(1,1)",0.2,0.02,31,0.03,0.19,0.07,0.06,0.06,0.59
"(1,1)",0.2,0.02,32,0.03,0.19,0.07,0.06,0.05,0.6
"(1,1)",0.2,0.02,33,0.03,0.17,0.09,0.05,0.06,0.6
"(1,1)",0.2,0.02,34,0.03,0.17,0.09,0.05,0.05,0.61
"(1,1)",0.2,0.02,35,0.02,0.18,0.08,0.05,0.04,0.63
"(1,1)",0.2,0.02,36,0.02,0.18,0.07,0.06,0.03,0.64
"(1,1)",0.2,0.02,37,0.02,0.18,0.07,0.02,0.07,0.64
"(1,1)",0.2,0.02,38,0.02,0.18,0.06,0.03,0.05,0.66
"(1,1)",0.2,0.02,39,0.02,0.18,0.06,0.02,0.05,0.67
"(1,1)",0.2,0.02,40,0.02,0.17,0.07,0.02,0.02,0.7
"(1,1)",0.2,0.02,41,0.02,0.17,0.07,0.02,0.02,0.7
"(1,1)",0.2,0.02,42,0.02,0.17,0.06,0.03,0.02,0.7
"(1,1)",0.2,0.02,43,0.02,0.16,0.07,0.02,0.03,0.7
"(1,1)",0.2,0.02,44,0.02,0.15,0.06,0.03,0.01,0.73
"(1,1)",0.2,0.02,45,0.02,0.15,0.05,0.03,0.02,0.73
"(1,1)",0.2,0.02,46,0.02,0.15,0.05,0.02,0.02,0.74
"(1,1)",0.2,0.02,47,0.02,0.15,0.05,0.02,0.02,0.74
"(1,1)",0.2,0.02,48,0.02,0.15,0.05,0.02,0.02,0.74
"(1,1)",0.2,0.02,49,0.02,0.15,0.05,0.01,0.02,0.75
"(1,1)",0.2,0.02,50,0.02,0.15,0.05,0.01,0.01,0.76
"(1,1)",0.2,0.02,51,0.02,0.15,0.05,0.01,0.0,0.77
"(1,1)",0.2,0.02,52,0.02,0.15,0.05,0.01,0.0,0.77
"(1,1)",0.2,0.02,53,0.02,0.15,0.05,0.01,0.0,0.77
"(1,1)",0.2,0.02,54,0.02,0.15,0.05,0.01,0.0,0.77
"(1,1)",0.2,0.02,55,0.02,0.15,0.05,0.01,0.0,0.77
"(1,1)",0.2,0.02,56,0.02,0.15,0.05,0.01,0.0,0.77
"(1,1)",0.2,0.02,57,0.02,0.15,0.05,0.01,0.0,0.77
"(1,1)",0.2,0.02,58,0.02,0.15,0.05,0.01,0.0,0.77
"(1,1)",0.2,0.02,59,0.02,0.15,0.05,0.01,0.0,0.77
"(1,1)",0.2,0.02,60,0.02,0.14,0.06,0.01,0.0,0.77
"(1,1)",0.2,0.02,61,0.02,0.14,0.06,0.01,0.0,0.77
"(1,1)",0.2,0.02,62,0.02,0.14,0.06,0.01,0.0,0.77
"(1,1)",0.2,0.02,63,0.02,0.14,0.06,0.01,0.0,0.77
"(1,1)",0.2,0.02,64,0.02,0.14,0.06,0.01,0.0,0.77
"(1,1)",0.2,0.02,65,0.02,0.14,0.06,0.01,0.0,0.77
"(1,1)",0.2,0.02,66,0.02,0.14,0.06,0.01,0.0,0.77
"(1,1)",0.2,0.02,67,0.02,0.14,0.05,0.02,0.0,0.77
