theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(1,1)",0.6,0.02,1,0.58,0.42,0.0,0.0,0.0,0.0
"(1,1)",0.6,0.02,2,0.3,0.7,0.0,0.0,0.0,0.0
"(1,1)",0.6,0.02,3,0.13,0.78,0.09,0.0,0.0,0.0
"(1,1)",0.6,0.02,4,0.1,0.67,0.22,0.01,0.0,0.0
"(1,1)",0.6,0.02,5,0.08,0.55,0.35,0.02,0.0,0.0
"(1,1)",0.6,0.02,6,0.08,0.43,0.43,0.05,0.01,0.0
"(1,1)",0.6,0.02,7,0.05,0.38,0.45,0.11,0.01,0.0
"(1,1)",0.6,0.02,8,0.05,0.34,0.41,0.17,0.03,0.0
"(1,1)",0.6,0.02,9,0.04,0.28,0.41,0.22,0.03,0.02
"(1,1)",0.6,0.02,10,0.03,0.23,0.46,0.17,0.09,0.02
"(1,1)",0.6,0.02,11,0.03,0.19,0.4,0.24,0.11,0.03
"(1,1)",0.6,0.02,12,0.03,0.16,0.4,0.25,0.09,0.07
"(1,1)",0.6,0.02,13,0.03,0.16,0.34,0.29,0.07,0.11
"(1,1)",0.6,0.02,14,0.03,0.16,0.31,0.29,0.09,0.12
"(1,1)",0.6,0.02,15,0.03,0.15,0.28,0.28,0.12,0.14
"(1,1)",0.6,0.02,16,0.03,0.15,0.25,0.28,0.14,0.15
"(1,1)",0.6,0.02,17,0.03,0.15,0.22,0.25,0.19,0.16
"(1,1)",0.6,0.02,18,0.03,0.15,0.22,0.23,0.18,0.19
"(1,1)",0.6,0.02,19,0.03,0.15,0.2,0.24,0.15,0.23
"(1,1)",0.6,0.02,20,0.03,0.14,0.19,0.21,0.18,0.25
"(1,1)",0.6,0.02,21,0.03,0.14,0.17,0.22,0.17,0.27
"(1,1)",0.6,0.02,22,0.03,0.14,0.16,0.22,0.13,0.32
"(1,1)",0.6,0.02,23,0.03,0.14,0.16,0.21,0.1,0.36
"(1,1)",0.6,0.02,24,0.03,0.14,0.15,0.16,0.15,0.37
"(1,1)",0.6,0.02,25,0.03,0.14,0.15,0.15,0.12,0.41
"(1,1)",0.6,0.02,26,0.03,0.14,0.15,0.13,0.12,0.43
"(1,1)",0.6,0.02,27,0.03,0.13,0.15,0.14,0.1,0.45
"(1,1)",0.6,0.02,28,0.03,0.13,0.15,0.14,0.09,0.46
"(1,1)",0.6,0.02,29,0.03,0.13,0.13,0.16,0.04,0.51
"(1,1)",0.6,0.02,30,0.03,0.13,0.13,0.15,0.05,0.51
"(1,1)",0.6,0.02,31,0.03,0.12,0.12,0.16,0.06,0.51
"(1,1)",0.6,0.02,32,0.03,0.12,0.12,0.15,0.06,0.52
"(1,1)",0.6,0.02,33,0.03,0.12,0.11,0.14,0.06,0.54
"(1,1)",0.6,0.02,34,0.03,0.12,0.11,0.13,0.07,0.54
"(1,1)",0.6,0.02,35,0.03,0.12,0.11,0.09,0.11,0.54
"(1,1)",0.6,0.02,36,0.03,0.12,0.11,0.09,0.08,0.57
"(1,1)",0.6,0.02,37,0.03,0.12,0.11,0.09,0.07,0.58
"(1,1)",0.6,0.02,38,0.03,0.12,0.1,0.1,0.07,0.58
"(1,1)",0.6,0.02,39,0.03,0.12,0.1,0.09,0.08,0.58
"(1,1)",0.6,0.02,40,0.03,0.12,0.09,0.1,0.04,0.62
"(1,1)",0.6,0.02,41,0.03,0.11,0.1,0.1,0.03,0.63
"(1,1)",0.6,0.02,42,0.03,0.1,0.1,0.11,0.03,0.63
"(1,1)",0.6,0.02,43,0.03,0.1,0.1,0.1,0.03,0.64
"(1,1)",0.6,0.02,44,0.03,0.1,0.1,0.1,0.03,0.64
"(1,1)",0.6,0.02,45,0.03,0.09,0.1,0.11,0.03,0.64
"(1,1)",0.6,0.02,46,0.03,0.09,0.1,0.09,0.05,0.64
"(1,1)",0.6,0.02,47,0.03,0.09,0.09,0.09,0.06,0.64
"(1,1)",0.6,0.02,48,0.03,0.09,0.09,0.09,0.03,0.67
"(1,1)",0.6,0.02,49,0.03,0.09,0.08,0.07,0.06,0.67
"(1,1)",0.6,0.02,50,0.03,0.09,0.08,0.07,0.05,0.68
"(1,1)",0.6,0.02,51,0.03,0.09,0.08,0.06,0.05,0.69
"(1,1)",0.6,0.02,52,0.03,0.09,0.08,0.06,0.05,0.69
"(1,1)",0.6,0.02,53,0.03,0.09,0.08,0.06,0.05,0.69
"(1,1)",0.6,0.02,54,0.03,0.09,0.08,0.06,0.03,0.71
"(1,1)",0.6,0.02,55,0.03,0.09,0.08,0.06,0.03,0.71
"(1,1)",0.6,0.02,56,0.03,0.09,0.08,0.06,0.01,0.73
"(1,1)",0.6,0.02,57,0.03,0.09,0.08,0.06,0.01,0.73
"(1,1)",0.6,0.02,58,0.03,0.09,0.08,0.06,0.01,0.73
"(1,1)",0.6,0.02,59,0.03,0.08,0.09,0.06,0.01,0.73
"(1,1)",0.6,0.02,60,0.03,0.08,0.09,0.06,0.01,0.73
"(1,1)",0.6,0.02,61,0.03,0.08,0.08,0.07,0.01,0.73
"(1,1)",0.6,0.02,62,0.03,0.08,0.08,0.06,0.02,0.73
"(1,1)",0.6,0.02,63,0.03,0.08,0.07,0.07,0.02,0.73
"(1,1)",0.6,0.02,64,0.03,0.08,0.07,0.07,0.02,0.73
"(1,1)",0.6,0.02,65,0.03,0.08,0.07,0.06,0.02,0.74
"(1,1)",0.6,0.02,66,0.03,0.08,0.07,0.06,0.02,0.74
"(1,1)",0.6,0.02,67,0.03,0.08,0.07,0.06,0.02,0.74
"(1,1)",0.6,0.02,68,0.03,0.08,0.07,0.06,0.02,0.74
"(1,1)",0.6,0.02,69,0.03,0.08,0.06,0.07,0.02,0.74
"(1,1)",0.6,0.02,70,0.03,0.08,0.06,0.07,0.02,0.74
