theta,gen,true_prior,run_number,trials_completed,boxes_opened,solved,final_theta
"(1,3)",0.8,0.02,1,22,5,True,0.5781237764352343
"(1,3)",0.8,0.02,2,43,5,True,0.5659203830895904
"(1,3)",0.8,0.02,3,60,5,True,0.5187538171047965
"(1,3)",0.8,0.02,4,70,1,False,0.1457352590346916
"(1,3)",0.8,0.02,5,15,5,True,0.6198416239125586
"(1,3)",0.8,0.02,6,26,5,True,0.5779736194218056
"(1,3)",0.8,0.02,7,70,0,False,0.0702525459727625
"(1,3)",0.8,0.02,8,14,5,True,0.6254980079681275
"(1,3)",0.8,0.02,9,50,5,True,0.4923778746909773
"(1,3)",0.8,0.02,10,40,5,True,0.6072330070382
"(1,3)",0.8,0.02,11,23,5,True,0.583582300015891
"(1,3)",0.8,0.02,12,70,1,False,0.1445891836598225
"(1,3)",0.8,0.02,13,38,5,True,0.5255706817752192
"(1,3)",0.8,0.02,14,26,5,True,0.624031007751938
"(1,3)",0.8,0.02,15,23,5,True,0.6061776061776062
"(1,3)",0.8,0.02,16,41,5,True,0.5257709651063273
"(1,3)",0.8,0.02,17,50,5,True,0.4832172808774605
"(1,3)",0.8,0.02,18,70,3,False,0.3207457266662089
"(1,3)",0.8,0.02,19,17,5,True,0.5856473356670169
"(1,3)",0.8,0.02,20,15,5,True,0.5976627712854756
"(1,3)",0.8,0.02,21,20,5,True,0.5527811514933175
"(1,3)",0.8,0.02,22,13,5,True,0.6121586191780154
"(1,3)",0.8,0.02,23,17,5,True,0.6196078431372549
"(1,3)",0.8,0.02,24,22,5,True,0.5721644455006838
"(1,3)",0.8,0.02,25,70,1,False,0.12970509887397647
"(1,3)",0.8,0.02,26,18,5,True,0.5932701978967326
"(1,3)",0.8,0.02,27,21,5,True,0.5932598350720572
"(1,3)",0.8,0.02,28,14,5,True,0.582944099813284
"(1,3)",0.8,0.02,29,27,5,True,0.5209341865311495
"(1,3)",0.8,0.02,30,20,5,True,0.6048683838097936
"(1,3)",0.8,0.02,31,70,3,False,0.30622064138333327
"(1,3)",0.8,0.02,32,30,5,True,0.5377331103031644
"(1,3)",0.8,0.02,33,70,0,False,0.0733271530069926
"(1,3)",0.8,0.02,34,70,0,False,0.08141482747330613
"(1,3)",0.8,0.02,35,70,2,False,0.20144051302173768
"(1,3)",0.8,0.02,36,70,0,False,0.06655712150147802
"(1,3)",0.8,0.02,37,70,2,False,0.22731502044071122
"(1,3)",0.8,0.02,38,70,1,False,0.15050203405291507
"(1,3)",0.8,0.02,39,70,1,False,0.15459304626021303
"(1,3)",0.8,0.02,40,49,5,True,0.5681001095526856
"(1,3)",0.8,0.02,41,70,2,False,0.2337486431308856
"(1,3)",0.8,0.02,42,70,2,False,0.21713418332388718
"(1,3)",0.8,0.02,43,70,2,False,0.21373559239825332
"(1,3)",0.8,0.02,44,10,5,True,0.6157533425358775
"(1,3)",0.8,0.02,45,31,5,True,0.5978767849005611
"(1,3)",0.8,0.02,46,37,5,True,0.514142064369029
"(1,3)",0.8,0.02,47,70,1,False,0.1373630963474107
"(1,3)",0.8,0.02,48,70,2,False,0.20813792014039603
"(1,3)",0.8,0.02,49,13,5,True,0.5970196761529954
"(1,3)",0.8,0.02,50,63,5,True,0.5776524162305445
"(1,3)",0.8,0.02,51,24,5,True,0.5359729262993705
"(1,3)",0.8,0.02,52,70,2,False,0.2175672824587661
"(1,3)",0.8,0.02,53,21,5,True,0.5883554124721821
"(1,3)",0.8,0.02,54,47,5,True,0.5207208191290379
"(1,3)",0.8,0.02,55,46,5,True,0.5859275871984678
"(1,3)",0.8,0.02,56,14,5,True,0.6085271317829458
"(1,3)",0.8,0.02,57,13,5,True,0.616600790513834
"(1,3)",0.8,0.02,58,33,5,True,0.6071815860356107
"(1,3)",0.8,0.02,59,40,5,True,0.5291313335917881
"(1,3)",0.8,0.02,60,70,5,True,0.47278300012817165
"(1,3)",0.8,0.02,61,70,3,False,0.29453315530526236
"(1,3)",0.8,0.02,62,20,5,True,0.5978546553650043
"(1,3)",0.8,0.02,63,70,3,False,0.3316356078324037
"(1,3)",0.8,0.02,64,70,3,False,0.3377582156800944
"(1,3)",0.8,0.02,65,70,1,False,0.157536534223429
"(1,3)",0.8,0.02,66,34,5,True,0.5528980437911948
"(1,3)",0.8,0.02,67,70,1,False,0.12950096129598077
"(1,3)",0.8,0.02,68,70,2,False,0.21922917387218233
"(1,3)",0.8,0.02,69,28,5,True,0.6343283582089553
"(1,3)",0.8,0.02,70,70,2,False,0.20639499411776324
"(1,3)",0.8,0.02,71,70,1,False,0.14481009679041942
"(1,3)",0.8,0.02,72,33,5,True,0.5128854011272109
"(1,3)",0.8,0.02,73,70,2,False,0.21525104916632598
"(1,3)",0.8,0.02,74,25,5,True,0.5657919965564224
"(1,3)",0.8,0.02,75,29,5,True,0.6129606384772467
"(1,3)",0.8,0.02,76,70,1,False,0.16404482921643776
"(1,3)",0.8,0.02,77,22,5,True,0.5806293761108137
"(1,3)",0.8,0.02,78,39,5,True,0.5217244909389687
"(1,3)",0.8,0.02,79,47,5,True,0.5455099042856144
"(1,3)",0.8,0.02,80,20,5,True,0.5861722983474053
"(1,3)",0.8,0.02,81,70,2,False,0.20258771538712672
"(1,3)",0.8,0.02,82,20,5,True,0.5772696325432939
"(1,3)",0.8,0.02,83,70,1,False,0.14535700616891928
"(1,3)",0.8,0.02,84,70,4,False,0.3833334626742673
"(1,3)",0.8,0.02,85,9,5,True,0.6279816513761468
"(1,3)",0.8,0.02,86,23,5,True,0.5671179442210659
"(1,3)",0.8,0.02,87,70,5,True,0.5954198473282443
"(1,3)",0.8,0.02,88,35,5,True,0.5184167684167684
"(1,3)",0.8,0.02,89,33,5,True,0.5590277777777777
"(1,3)",0.8,0.02,90,70,2,False,0.2680861482491315
"(1,3)",0.8,0.02,91,70,1,False,0.1388079044831016
"(1,3)",0.8,0.02,92,25,5,True,0.5965323969341932
"(1,3)",0.8,0.02,93,15,5,True,0.5797692378635952
"(1,3)",0.8,0.02,94,28,5,True,0.6181102362204725
"(1,3)",0.8,0.02,95,31,5,True,0.5891450124320599
"(1,3)",0.8,0.02,96,47,5,True,0.562871633123648
"(1,3)",0.8,0.02,97,25,5,True,0.5932376576884847
"(1,3)",0.8,0.02,98,70,2,False,0.21624169663242238
"(1,3)",0.8,0.02,99,38,5,True,0.5399067869699173
"(1,3)",0.8,0.02,100,15,5,True,0.5934685135639727
