theta,gen,true_prior,run_number,trials_completed,boxes_opened,solved,final_theta
"(2,1)",0.2,0.02,1,32,5,True,0.7873325726530861
"(2,1)",0.2,0.02,2,70,1,False,0.10853701012956128
"(2,1)",0.2,0.02,3,28,5,True,0.8435509447147043
"(2,1)",0.2,0.02,4,16,5,True,0.8446091468338657
"(2,1)",0.2,0.02,5,19,5,True,0.7962514076025603
"(2,1)",0.2,0.02,6,39,5,True,0.8042553191489362
"(2,1)",0.2,0.02,7,70,1,False,0.10857207533431239
"(2,1)",0.2,0.02,8,10,5,True,0.8491847826086957
"(2,1)",0.2,0.02,9,9,5,True,0.8590909090909091
"(2,1)",0.2,0.02,10,21,5,True,0.8081714164353027
"(2,1)",0.2,0.02,11,15,5,True,0.8015302526294819
"(2,1)",0.2,0.02,12,70,1,False,0.11161020076704523
"(2,1)",0.2,0.02,13,15,5,True,0.8454545454545455
"(2,1)",0.2,0.02,14,21,5,True,0.809556349469113
"(2,1)",0.2,0.02,15,17,5,True,0.8162734984111953
"(2,1)",0.2,0.02,16,18,5,True,0.8184747583243823
"(2,1)",0.2,0.02,17,29,5,True,0.8392857142857143
"(2,1)",0.2,0.02,18,38,5,True,0.8165938864628821
"(2,1)",0.2,0.02,19,14,5,True,0.8373554636977049
"(2,1)",0.2,0.02,20,16,5,True,0.8030458375342489
"(2,1)",0.2,0.02,21,19,5,True,0.8324155522834137
"(2,1)",0.2,0.02,22,21,5,True,0.8145290710856171
"(2,1)",0.2,0.02,23,25,5,True,0.8604651162790697
"(2,1)",0.2,0.02,24,70,2,False,0.32321624671566357
"(2,1)",0.2,0.02,25,15,5,True,0.8468633726973174
"(2,1)",0.2,0.02,26,15,5,True,0.8063301772013725
"(2,1)",0.2,0.02,27,46,5,True,0.8391898068792137
"(2,1)",0.2,0.02,28,70,1,False,0.20030674923727135
"(2,1)",0.2,0.02,29,15,5,True,0.8287255639013067
"(2,1)",0.2,0.02,30,15,5,True,0.8493150684931506
"(2,1)",0.2,0.02,31,18,5,True,0.7835308799804693
"(2,1)",0.2,0.02,32,18,5,True,0.8243188488323455
"(2,1)",0.2,0.02,33,16,5,True,0.8571428571428572
"(2,1)",0.2,0.02,34,17,5,True,0.8479767657538927
"(2,1)",0.2,0.02,35,15,5,True,0.8330393836876695
"(2,1)",0.2,0.02,36,70,2,False,0.28287790647819067
"(2,1)",0.2,0.02,37,20,5,True,0.7528069255363061
"(2,1)",0.2,0.02,38,19,5,True,0.7801126218807052
"(2,1)",0.2,0.02,39,19,5,True,0.8010304116944487
"(2,1)",0.2,0.02,40,25,5,True,0.8482142857142857
"(2,1)",0.2,0.02,41,65,5,True,0.7475319926873857
"(2,1)",0.2,0.02,42,19,5,True,0.8377679154201549
"(2,1)",0.2,0.02,43,13,5,True,0.853454821564161
"(2,1)",0.2,0.02,44,17,5,True,0.8520179372197308
"(2,1)",0.2,0.02,45,17,5,True,0.8127086236858546
"(2,1)",0.2,0.02,46,14,5,True,0.8540272614622058
"(2,1)",0.2,0.02,47,18,5,True,0.8461360455351311
"(2,1)",0.2,0.02,48,34,5,True,0.8609865470852018
"(2,1)",0.2,0.02,49,41,5,True,0.6802666072222537
"(2,1)",0.2,0.02,50,70,4,False,0.3891964222301575
"(2,1)",0.2,0.02,51,24,5,True,0.8
"(2,1)",0.2,0.02,52,29,5,True,0.802535743188562
"(2,1)",0.2,0.02,53,14,5,True,0.8611111111111112
"(2,1)",0.2,0.02,54,14,5,True,0.8457356317922895
"(2,1)",0.2,0.02,55,21,5,True,0.755307233038157
"(2,1)",0.2,0.02,56,26,5,True,0.8513513513513513
"(2,1)",0.2,0.02,57,20,5,True,0.8577981651376146
"(2,1)",0.2,0.02,58,36,5,True,0.7286062949898697
"(2,1)",0.2,0.02,59,16,5,True,0.8464009860417677
"(2,1)",0.2,0.02,60,17,5,True,0.8163707874390392
"(2,1)",0.2,0.02,61,13,5,True,0.8562031792435593
"(2,1)",0.2,0.02,62,15,5,True,0.8611111111111112
"(2,1)",0.2,0.02,63,10,5,True,0.8429112465009055
"(2,1)",0.2,0.02,64,18,5,True,0.8257908942608979
"(2,1)",0.2,0.02,65,14,5,True,0.8532110091743119
"(2,1)",0.2,0.02,66,13,5,True,0.8604651162790697
"(2,1)",0.2,0.02,67,23,5,True,0.836189225641239
"(2,1)",0.2,0.02,68,16,5,True,0.8243312709672912
"(2,1)",0.2,0.02,69,70,0,False,0.14416758963401638
"(2,1)",0.2,0.02,70,16,5,True,0.8430493273542601
"(2,1)",0.2,0.02,71,29,5,True,0.7260106243280947
"(2,1)",0.2,0.02,72,14,5,True,0.8472370223778353
"(2,1)",0.2,0.02,73,24,5,True,0.7553093137188187
"(2,1)",0.2,0.02,74,18,5,True,0.83408849222326
"(2,1)",0.2,0.02,75,18,5,True,0.8617511520737328
"(2,1)",0.2,0.02,76,20,5,True,0.7885186102924463
"(2,1)",0.2,0.02,77,51,5,True,0.7359972233667272
"(2,1)",0.2,0.02,78,70,1,False,0.11438291775678111
"(2,1)",0.2,0.02,79,19,5,True,0.8617511520737328
"(2,1)",0.2,0.02,80,11,5,True,0.8611111111111112
"(2,1)",0.2,0.02,81,16,5,True,0.8416700666394669
"(2,1)",0.2,0.02,82,25,5,True,0.7690342638280552
"(2,1)",0.2,0.02,83,27,5,True,0.84375
"(2,1)",0.2,0.02,84,70,3,False,0.3708845972131523
"(2,1)",0.2,0.02,85,67,5,True,0.6726618705035972
"(2,1)",0.2,0.02,86,16,5,True,0.8453876596987968
"(2,1)",0.2,0.02,87,20,5,True,0.8377245211868612
"(2,1)",0.2,0.02,88,70,1,False,0.10913358238514916
"(2,1)",0.2,0.02,89,15,5,True,0.8132838712137976
"(2,1)",0.2,0.02,90,25,5,True,0.8506787330316742
"(2,1)",0.2,0.02,91,34,5,True,0.7957446808510639
"(2,1)",0.2,0.02,92,28,5,True,0.8359711408218448
"(2,1)",0.2,0.02,93,32,5,True,0.7580645161290324
"(2,1)",0.2,0.02,94,10,5,True,0.8617511520737328
"(2,1)",0.2,0.02,95,16,5,True,0.8064835474081622
"(2,1)",0.2,0.02,96,12,5,True,0.8545454545454546
"(2,1)",0.2,0.02,97,28,5,True,0.8368081885348247
"(2,1)",0.2,0.02,98,16,5,True,0.8131399070518989
"(2,1)",0.2,0.02,99,19,5,True,0.7890534657139824
"(2,1)",0.2,0.02,100,25,5,True,0.8266167464661855
