theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(6,1)",0.6,0.02,1,0.51,0.49,0.0,0.0,0.0,0.0
"(6,1)",0.6,0.02,2,0.25,0.75,0.0,0.0,0.0,0.0
"(6,1)",0.6,0.02,3,0.18,0.65,0.17,0.0,0.0,0.0
"(6,1)",0.6,0.02,4,0.14,0.54,0.29,0.03,0.0,0.0
"(6,1)",0.6,0.02,5,0.13,0.42,0.4,0.05,0.0,0.0
"(6,1)",0.6,0.02,6,0.11,0.37,0.43,0.07,0.02,0.0
"(6,1)",0.6,0.02,7,0.1,0.33,0.41,0.14,0.02,0.0
"(6,1)",0.6,0.02,8,0.09,0.27,0.44,0.18,0.02,0.0
"(6,1)",0.6,0.02,9,0.06,0.26,0.42,0.21,0.04,0.01
"(6,1)",0.6,0.02,10,0.06,0.22,0.43,0.19,0.09,0.01
"(6,1)",0.6,0.02,11,0.04,0.21,0.38,0.24,0.11,0.02
"(6,1)",0.6,0.02,12,0.03,0.2,0.33,0.28,0.12,0.04
"(6,1)",0.6,0.02,13,0.03,0.19,0.29,0.28,0.17,0.04
"(6,1)",0.6,0.02,14,0.03,0.18,0.24,0.31,0.18,0.06
"(6,1)",0.6,0.02,15,0.03,0.16,0.21,0.33,0.17,0.1
"(6,1)",0.6,0.02,16,0.02,0.17,0.2,0.32,0.13,0.16
"(6,1)",0.6,0.02,17,0.02,0.15,0.2,0.28,0.16,0.19
"(6,1)",0.6,0.02,18,0.02,0.12,0.18,0.26,0.17,0.25
"(6,1)",0.6,0.02,19,0.02,0.1,0.18,0.22,0.14,0.34
"(6,1)",0.6,0.02,20,0.02,0.09,0.16,0.2,0.17,0.36
"(6,1)",0.6,0.02,21,0.02,0.07,0.15,0.2,0.16,0.4
"(6,1)",0.6,0.02,22,0.02,0.05,0.15,0.15,0.18,0.45
"(6,1)",0.6,0.02,23,0.02,0.05,0.09,0.18,0.17,0.49
"(6,1)",0.6,0.02,24,0.02,0.04,0.1,0.15,0.14,0.55
"(6,1)",0.6,0.02,25,0.02,0.04,0.08,0.13,0.15,0.58
"(6,1)",0.6,0.02,26,0.02,0.04,0.06,0.12,0.15,0.61
"(6,1)",0.6,0.02,27,0.02,0.04,0.05,0.11,0.11,0.67
"(6,1)",0.6,0.02,28,0.02,0.04,0.05,0.11,0.1,0.68
"(6,1)",0.6,0.02,29,0.02,0.04,0.04,0.08,0.11,0.71
"(6,1)",0.6,0.02,30,0.02,0.03,0.05,0.06,0.1,0.74
"(6,1)",0.6,0.02,31,0.02,0.03,0.04,0.07,0.08,0.76
"(6,1)",0.6,0.02,32,0.02,0.03,0.04,0.06,0.05,0.8
"(6,1)",0.6,0.02,33,0.02,0.03,0.04,0.06,0.03,0.82
"(6,1)",0.6,0.02,34,0.02,0.03,0.02,0.06,0.03,0.84
"(6,1)",0.6,0.02,35,0.02,0.03,0.02,0.05,0.04,0.84
"(6,1)",0.6,0.02,36,0.02,0.03,0.02,0.04,0.04,0.85
"(6,1)",0.6,0.02,37,0.02,0.03,0.01,0.05,0.04,0.85
"(6,1)",0.6,0.02,38,0.02,0.03,0.01,0.04,0.04,0.86
"(6,1)",0.6,0.02,39,0.02,0.03,0.01,0.04,0.04,0.86
"(6,1)",0.6,0.02,40,0.02,0.03,0.01,0.03,0.04,0.87
