theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(5,1)",0.8,0.02,1,0.42,0.58,0.0,0.0,0.0,0.0
"(5,1)",0.8,0.02,2,0.34,0.62,0.04,0.0,0.0,0.0
"(5,1)",0.8,0.02,3,0.28,0.61,0.11,0.0,0.0,0.0
"(5,1)",0.8,0.02,4,0.23,0.57,0.18,0.02,0.0,0.0
"(5,1)",0.8,0.02,5,0.21,0.52,0.23,0.03,0.01,0.0
"(5,1)",0.8,0.02,6,0.17,0.48,0.26,0.05,0.03,0.01
"(5,1)",0.8,0.02,7,0.14,0.47,0.28,0.07,0.03,0.01
"(5,1)",0.8,0.02,8,0.13,0.45,0.26,0.12,0.03,0.01
"(5,1)",0.8,0.02,9,0.11,0.39,0.3,0.16,0.03,0.01
"(5,1)",0.8,0.02,10,0.08,0.38,0.27,0.21,0.05,0.01
"(5,1)",0.8,0.02,11,0.08,0.33,0.29,0.24,0.04,0.02
"(5,1)",0.8,0.02,12,0.07,0.31,0.24,0.28,0.06,0.04
"(5,1)",0.8,0.02,13,0.07,0.27,0.25,0.28,0.06,0.07
"(5,1)",0.8,0.02,14,0.06,0.24,0.27,0.28,0.08,0.07
"(5,1)",0.8,0.02,15,0.05,0.22,0.27,0.29,0.09,0.08
"(5,1)",0.8,0.02,16,0.05,0.2,0.25,0.27,0.14,0.09
"(5,1)",0.8,0.02,17,0.05,0.2,0.22,0.21,0.23,0.09
"(5,1)",0.8,0.02,18,0.04,0.21,0.18,0.22,0.23,0.12
"(5,1)",0.8,0.02,19,0.04,0.19,0.17,0.22,0.19,0.19
"(5,1)",0.8,0.02,20,0.04,0.19,0.16,0.19,0.2,0.22
"(5,1)",0.8,0.02,21,0.04,0.19,0.14,0.21,0.16,0.26
"(5,1)",0.8,0.02,22,0.04,0.17,0.13,0.19,0.15,0.32
"(5,1)",0.8,0.02,23,0.04,0.17,0.12,0.17,0.14,0.36
"(5,1)",0.8,0.02,24,0.04,0.16,0.09,0.17,0.17,0.37
"(5,1)",0.8,0.02,25,0.03,0.17,0.08,0.13,0.16,0.43
"(5,1)",0.8,0.02,26,0.03,0.16,0.07,0.12,0.15,0.47
"(5,1)",0.8,0.02,27,0.03,0.15,0.08,0.11,0.11,0.52
"(5,1)",0.8,0.02,28,0.03,0.13,0.1,0.07,0.13,0.54
"(5,1)",0.8,0.02,29,0.03,0.12,0.1,0.08,0.1,0.57
"(5,1)",0.8,0.02,30,0.03,0.12,0.09,0.08,0.09,0.59
"(5,1)",0.8,0.02,31,0.03,0.12,0.08,0.08,0.07,0.62
"(5,1)",0.8,0.02,32,0.03,0.12,0.08,0.08,0.05,0.64
"(5,1)",0.8,0.02,33,0.03,0.12,0.08,0.08,0.03,0.66
"(5,1)",0.8,0.02,34,0.02,0.13,0.07,0.07,0.05,0.66
"(5,1)",0.8,0.02,35,0.01,0.13,0.08,0.05,0.05,0.68
"(5,1)",0.8,0.02,36,0.01,0.12,0.07,0.06,0.06,0.68
"(5,1)",0.8,0.02,37,0.01,0.12,0.06,0.07,0.05,0.69
"(5,1)",0.8,0.02,38,0.01,0.11,0.07,0.05,0.05,0.71
"(5,1)",0.8,0.02,39,0.01,0.11,0.06,0.05,0.06,0.71
"(5,1)",0.8,0.02,40,0.01,0.09,0.08,0.02,0.07,0.73
"(5,1)",0.8,0.02,41,0.01,0.09,0.08,0.02,0.07,0.73
"(5,1)",0.8,0.02,42,0.01,0.09,0.07,0.03,0.05,0.75
"(5,1)",0.8,0.02,43,0.01,0.09,0.06,0.04,0.04,0.76
"(5,1)",0.8,0.02,44,0.01,0.08,0.07,0.04,0.02,0.78
"(5,1)",0.8,0.02,45,0.01,0.07,0.07,0.04,0.02,0.79
"(5,1)",0.8,0.02,46,0.01,0.07,0.06,0.05,0.02,0.79
"(5,1)",0.8,0.02,47,0.01,0.07,0.06,0.04,0.03,0.79
"(5,1)",0.8,0.02,48,0.01,0.07,0.05,0.04,0.03,0.8
"(5,1)",0.8,0.02,49,0.01,0.07,0.05,0.03,0.04,0.8
"(5,1)",0.8,0.02,50,0.01,0.07,0.04,0.04,0.03,0.81
"(5,1)",0.8,0.02,51,0.01,0.07,0.04,0.01,0.05,0.82
"(5,1)",0.8,0.02,52,0.01,0.06,0.05,0.01,0.03,0.84
"(5,1)",0.8,0.02,53,0.01,0.06,0.05,0.01,0.03,0.84
"(5,1)",0.8,0.02,54,0.01,0.06,0.05,0.01,0.02,0.85
"(5,1)",0.8,0.02,55,0.01,0.06,0.04,0.02,0.01,0.86
"(5,1)",0.8,0.02,56,0.01,0.06,0.04,0.02,0.01,0.86
"(5,1)",0.8,0.02,57,0.01,0.05,0.05,0.02,0.01,0.86
"(5,1)",0.8,0.02,58,0.01,0.05,0.05,0.01,0.02,0.86
"(5,1)",0.8,0.02,59,0.01,0.05,0.05,0.01,0.02,0.86
"(5,1)",0.8,0.02,60,0.01,0.05,0.05,0.01,0.02,0.86
"(5,1)",0.8,0.02,61,0.01,0.05,0.05,0.01,0.01,0.87
"(5,1)",0.8,0.02,62,0.01,0.05,0.04,0.02,0.01,0.87
"(5,1)",0.8,0.02,63,0.01,0.05,0.04,0.01,0.02,0.87
"(5,1)",0.8,0.02,64,0.01,0.05,0.04,0.01,0.02,0.87
"(5,1)",0.8,0.02,65,0.01,0.05,0.04,0.01,0.01,0.88
"(5,1)",0.8,0.02,66,0.01,0.05,0.04,0.01,0.01,0.88
"(5,1)",0.8,0.02,67,0.01,0.05,0.04,0.01,0.01,0.88
"(5,1)",0.8,0.02,68,0.01,0.05,0.04,0.01,0.01,0.88
"(5,1)",0.8,0.02,69,0.01,0.05,0.04,0.01,0.01,0.88
"(5,1)",0.8,0.02,70,0.01,0.05,0.04,0.01,0.01,0.88
