theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(6,1)",0.9,0.02,1,0.66,0.34,0.0,0.0,0.0,0.0
"(6,1)",0.9,0.02,2,0.58,0.37,0.05,0.0,0.0,0.0
"(6,1)",0.9,0.02,3,0.5,0.36,0.14,0.0,0.0,0.0
"(6,1)",0.9,0.02,4,0.44,0.4,0.14,0.02,0.0,0.0
"(6,1)",0.9,0.02,5,0.38,0.42,0.18,0.02,0.0,0.0
"(6,1)",0.9,0.02,6,0.34,0.4,0.22,0.04,0.0,0.0
"(6,1)",0.9,0.02,7,0.31,0.4,0.24,0.04,0.01,0.0
"(6,1)",0.9,0.02,8,0.3,0.34,0.28,0.06,0.02,0.0
"(6,1)",0.9,0.02,9,0.27,0.34,0.28,0.08,0.03,0.0
"(6,1)",0.9,0.02,10,0.26,0.32,0.31,0.08,0.03,0.0
"(6,1)",0.9,0.02,11,0.24,0.3,0.32,0.11,0.03,0.0
"(6,1)",0.9,0.02,12,0.19,0.31,0.33,0.11,0.06,0.0
"(6,1)",0.9,0.02,13,0.19,0.26,0.37,0.11,0.07,0.0
"(6,1)",0.9,0.02,14,0.17,0.25,0.31,0.18,0.08,0.01
"(6,1)",0.9,0.02,15,0.12,0.29,0.25,0.2,0.09,0.05
"(6,1)",0.9,0.02,16,0.11,0.27,0.28,0.16,0.12,0.06
"(6,1)",0.9,0.02,17,0.09,0.27,0.27,0.17,0.09,0.11
"(6,1)",0.9,0.02,18,0.08,0.25,0.25,0.22,0.04,0.16
"(6,1)",0.9,0.02,19,0.08,0.25,0.2,0.23,0.07,0.17
"(6,1)",0.9,0.02,20,0.06,0.26,0.18,0.24,0.08,0.18
"(6,1)",0.9,0.02,21,0.06,0.22,0.21,0.21,0.1,0.2
"(6,1)",0.9,0.02,22,0.05,0.22,0.19,0.2,0.11,0.23
"(6,1)",0.9,0.02,23,0.05,0.18,0.2,0.18,0.14,0.25
"(6,1)",0.9,0.02,24,0.05,0.16,0.15,0.21,0.15,0.28
