theta,gen,true_prior,run_number,trials_completed,boxes_opened,solved,final_theta
"(5,1)",0.3,0.02,1,13,5,True,0.8944803865367292
"(5,1)",0.3,0.02,2,13,5,True,0.889589905362776
"(5,1)",0.3,0.02,3,15,5,True,0.8802677157935024
"(5,1)",0.3,0.02,4,25,5,True,0.8387980652999956
"(5,1)",0.3,0.02,5,19,5,True,0.8885350318471338
"(5,1)",0.3,0.02,6,51,5,True,0.8691588785046729
"(5,1)",0.3,0.02,7,25,5,True,0.8758248350329935
"(5,1)",0.3,0.02,8,19,5,True,0.838145626006478
"(5,1)",0.3,0.02,9,21,5,True,0.9003634395298484
"(5,1)",0.3,0.02,10,15,5,True,0.8935483870967742
"(5,1)",0.3,0.02,11,12,5,True,0.8945969633369681
"(5,1)",0.3,0.02,12,19,5,True,0.8801791904900113
"(5,1)",0.3,0.02,13,20,5,True,0.8515151515151516
"(5,1)",0.3,0.02,14,20,5,True,0.8903225806451613
"(5,1)",0.3,0.02,15,18,5,True,0.8376452269732901
"(5,1)",0.3,0.02,16,18,5,True,0.8993506493506493
"(5,1)",0.3,0.02,17,14,5,True,0.8923704874840243
"(5,1)",0.3,0.02,18,18,5,True,0.8890769750766931
"(5,1)",0.3,0.02,19,18,5,True,0.8493522297999645
"(5,1)",0.3,0.02,20,15,5,True,0.9032258064516129
"(5,1)",0.3,0.02,21,26,5,True,0.8671807396346047
"(5,1)",0.3,0.02,22,24,5,True,0.8913738019169329
"(5,1)",0.3,0.02,23,9,5,True,0.8995528685685497
"(5,1)",0.3,0.02,24,17,5,True,0.8660436137071651
"(5,1)",0.3,0.02,25,21,5,True,0.8703793605659199
"(5,1)",0.3,0.02,26,20,5,True,0.8824166283040688
"(5,1)",0.3,0.02,27,33,5,True,0.8563691757596944
"(5,1)",0.3,0.02,28,16,5,True,0.8987341772151899
"(5,1)",0.3,0.02,29,22,5,True,0.8765822784810126
"(5,1)",0.3,0.02,30,15,5,True,0.8718752407369929
"(5,1)",0.3,0.02,31,17,5,True,0.891399999359605
"(5,1)",0.3,0.02,32,20,5,True,0.8719348365813012
"(5,1)",0.3,0.02,33,17,5,True,0.8850291012683689
"(5,1)",0.3,0.02,34,20,5,True,0.8726003490401397
"(5,1)",0.3,0.02,35,12,5,True,0.8878205128205129
"(5,1)",0.3,0.02,36,19,5,True,0.8922935966608979
"(5,1)",0.3,0.02,37,18,5,True,0.8541642039940704
"(5,1)",0.3,0.02,38,24,5,True,0.8527607361963191
"(5,1)",0.3,0.02,39,23,5,True,0.8971061093247589
"(5,1)",0.3,0.02,40,12,5,True,0.8842443729903537
"(5,1)",0.3,0.02,41,9,5,True,0.8883227499144454
"(5,1)",0.3,0.02,42,42,5,True,0.8574989714175076
"(5,1)",0.3,0.02,43,33,5,True,0.893243695991187
"(5,1)",0.3,0.02,44,15,5,True,0.8709152210247249
"(5,1)",0.3,0.02,45,22,5,True,0.857350326878146
"(5,1)",0.3,0.02,46,14,5,True,0.8929844312894233
"(5,1)",0.3,0.02,47,70,1,False,0.3538010815467389
"(5,1)",0.3,0.02,48,17,5,True,0.887459807073955
"(5,1)",0.3,0.02,49,18,5,True,0.8696610899571149
"(5,1)",0.3,0.02,50,13,5,True,0.8693235751330977
"(5,1)",0.3,0.02,51,26,5,True,0.8761609907120742
"(5,1)",0.3,0.02,52,21,5,True,0.870253164556962
"(5,1)",0.3,0.02,53,25,5,True,0.8339175257731959
"(5,1)",0.3,0.02,54,20,5,True,0.8664596273291926
"(5,1)",0.3,0.02,55,18,5,True,0.8707742649909247
"(5,1)",0.3,0.02,56,20,5,True,0.8809513514471095
"(5,1)",0.3,0.02,57,31,5,True,0.8669398136464627
"(5,1)",0.3,0.02,58,24,5,True,0.864774233798643
"(5,1)",0.3,0.02,59,14,5,True,0.9016393442622951
"(5,1)",0.3,0.02,60,27,5,True,0.8480469554242547
"(5,1)",0.3,0.02,61,10,5,True,0.9025974025974026
"(5,1)",0.3,0.02,62,16,5,True,0.8927544663638091
"(5,1)",0.3,0.02,63,21,5,True,0.8999372647427853
"(5,1)",0.3,0.02,64,10,5,True,0.9019607843137255
"(5,1)",0.3,0.02,65,20,5,True,0.8720794392523366
"(5,1)",0.3,0.02,66,14,5,True,0.8472104574225504
"(5,1)",0.3,0.02,67,13,5,True,0.8887454827052143
"(5,1)",0.3,0.02,68,17,5,True,0.8743558743466616
"(5,1)",0.3,0.02,69,48,5,True,0.8506097560975611
"(5,1)",0.3,0.02,70,23,5,True,0.8518441808482922
"(5,1)",0.3,0.02,71,17,5,True,0.8872384078785391
"(5,1)",0.3,0.02,72,25,5,True,0.8769716088328076
"(5,1)",0.3,0.02,73,24,5,True,0.8455886506929424
"(5,1)",0.3,0.02,74,12,5,True,0.891927683073625
"(5,1)",0.3,0.02,75,21,5,True,0.8686279687599204
"(5,1)",0.3,0.02,76,11,5,True,0.8885599163285824
"(5,1)",0.3,0.02,77,19,5,True,0.8731304430922189
"(5,1)",0.3,0.02,78,15,5,True,0.871069182389937
"(5,1)",0.3,0.02,79,18,5,True,0.8906752411575563
"(5,1)",0.3,0.02,80,18,5,True,0.8826768216741899
"(5,1)",0.3,0.02,81,22,5,True,0.8455880439201189
"(5,1)",0.3,0.02,82,18,5,True,0.9016393442622951
"(5,1)",0.3,0.02,83,27,5,True,0.8545527497508685
"(5,1)",0.3,0.02,84,23,5,True,0.8947627907271926
"(5,1)",0.3,0.02,85,31,5,True,0.8266296896653117
"(5,1)",0.3,0.02,86,25,5,True,0.8613876434379513
"(5,1)",0.3,0.02,87,19,5,True,0.8550180028445243
"(5,1)",0.3,0.02,88,16,5,True,0.8848494624654634
"(5,1)",0.3,0.02,89,19,5,True,0.875538329026701
"(5,1)",0.3,0.02,90,70,0,False,0.2884608288242952
"(5,1)",0.3,0.02,91,22,5,True,0.868081494057725
"(5,1)",0.3,0.02,92,19,5,True,0.8927444794952681
"(5,1)",0.3,0.02,93,31,5,True,0.8611111111111112
"(5,1)",0.3,0.02,94,29,5,True,0.8776662484316187
"(5,1)",0.3,0.02,95,20,5,True,0.8664596273291926
"(5,1)",0.3,0.02,96,30,5,True,0.8375681154411858
"(5,1)",0.3,0.02,97,15,5,True,0.8845753070441238
"(5,1)",0.3,0.02,98,16,5,True,0.8743653759201808
"(5,1)",0.3,0.02,99,31,5,True,0.8575757575757575
"(5,1)",0.3,0.02,100,13,5,True,0.8989385817532068
