theta,gen,true_prior,run_number,trials_completed,boxes_opened,solved,final_theta
"(3,1)",0.4,0.02,1,42,5,True,0.7799247275984659
"(3,1)",0.4,0.02,2,26,5,True,0.8696997709095294
"(3,1)",0.4,0.02,3,20,5,True,0.7768789226353802
"(3,1)",0.4,0.02,4,19,5,True,0.8566413791758488
"(3,1)",0.4,0.02,5,26,5,True,0.7914701007267628
"(3,1)",0.4,0.02,6,14,5,True,0.8626215631687099
"(3,1)",0.4,0.02,7,16,5,True,0.8627450980392156
"(3,1)",0.4,0.02,8,19,5,True,0.8297101449275361
"(3,1)",0.4,0.02,9,14,5,True,0.8408368636805335
"(3,1)",0.4,0.02,10,21,5,True,0.8532988578607481
"(3,1)",0.4,0.02,11,13,5,True,0.861111111111111
"(3,1)",0.4,0.02,12,13,5,True,0.8703459308138372
"(3,1)",0.4,0.02,13,11,5,True,0.878048780487805
"(3,1)",0.4,0.02,14,20,5,True,0.8211959570193855
"(3,1)",0.4,0.02,15,31,5,True,0.7567660619124603
"(3,1)",0.4,0.02,16,13,5,True,0.8482969199694214
"(3,1)",0.4,0.02,17,32,5,True,0.8218026944697421
"(3,1)",0.4,0.02,18,59,5,True,0.7318885800192886
"(3,1)",0.4,0.02,19,20,5,True,0.7600028993631126
"(3,1)",0.4,0.02,20,16,5,True,0.851928891855132
"(3,1)",0.4,0.02,21,37,5,True,0.7659752378008049
"(3,1)",0.4,0.02,22,17,5,True,0.8404656501065747
"(3,1)",0.4,0.02,23,17,5,True,0.8346153846153845
"(3,1)",0.4,0.02,24,28,5,True,0.8511450381679388
"(3,1)",0.4,0.02,25,16,5,True,0.8094050114157295
"(3,1)",0.4,0.02,26,23,5,True,0.8549019607843137
"(3,1)",0.4,0.02,27,34,5,True,0.7988078592979616
"(3,1)",0.4,0.02,28,18,5,True,0.7847384861843539
"(3,1)",0.4,0.02,29,33,5,True,0.7662225630211829
"(3,1)",0.4,0.02,30,45,5,True,0.7622126436781609
"(3,1)",0.4,0.02,31,31,5,True,0.8674698795180722
"(3,1)",0.4,0.02,32,22,5,True,0.8343839788899721
"(3,1)",0.4,0.02,33,26,5,True,0.7654554170483394
"(3,1)",0.4,0.02,34,70,1,False,0.14285714285714288
"(3,1)",0.4,0.02,35,16,5,True,0.8652939421068337
"(3,1)",0.4,0.02,36,16,5,True,0.8638545892885444
"(3,1)",0.4,0.02,37,64,5,True,0.8014705882352942
"(3,1)",0.4,0.02,38,70,1,False,0.2908416839632767
"(3,1)",0.4,0.02,39,19,5,True,0.8557684764895591
"(3,1)",0.4,0.02,40,19,5,True,0.838645008395045
"(3,1)",0.4,0.02,41,24,5,True,0.8050645994832041
"(3,1)",0.4,0.02,42,16,5,True,0.8485250248591316
"(3,1)",0.4,0.02,43,30,5,True,0.7765427765006171
"(3,1)",0.4,0.02,44,29,5,True,0.8154492909514193
"(3,1)",0.4,0.02,45,20,5,True,0.8499308821273037
"(3,1)",0.4,0.02,46,70,1,False,0.2819853836243829
"(3,1)",0.4,0.02,47,20,5,True,0.844106463878327
"(3,1)",0.4,0.02,48,24,5,True,0.8636755823986194
"(3,1)",0.4,0.02,49,25,5,True,0.7970479704797049
"(3,1)",0.4,0.02,50,27,5,True,0.8235060162435759
"(3,1)",0.4,0.02,51,21,5,True,0.7798995340635286
"(3,1)",0.4,0.02,52,31,5,True,0.8472727272727273
"(3,1)",0.4,0.02,53,15,5,True,0.8515916402383643
"(3,1)",0.4,0.02,54,16,5,True,0.8482490272373541
"(3,1)",0.4,0.02,55,15,5,True,0.8749999999999999
"(3,1)",0.4,0.02,56,15,5,True,0.8067609222701193
"(3,1)",0.4,0.02,57,22,5,True,0.8390581843691641
"(3,1)",0.4,0.02,58,49,5,True,0.6815669587358495
"(3,1)",0.4,0.02,59,70,2,False,0.3684159449049993
"(3,1)",0.4,0.02,60,70,2,False,0.37822112018873927
"(3,1)",0.4,0.02,61,22,5,True,0.8250950570342205
"(3,1)",0.4,0.02,62,23,5,True,0.86328125
"(3,1)",0.4,0.02,63,19,5,True,0.8529131443726173
"(3,1)",0.4,0.02,64,23,5,True,0.7912261278290353
"(3,1)",0.4,0.02,65,22,5,True,0.77323716290528
"(3,1)",0.4,0.02,66,20,5,True,0.8566413791758488
"(3,1)",0.4,0.02,67,15,5,True,0.85
"(3,1)",0.4,0.02,68,24,5,True,0.8299241653551718
"(3,1)",0.4,0.02,69,18,5,True,0.8241226752847902
"(3,1)",0.4,0.02,70,18,5,True,0.8527131782945736
"(3,1)",0.4,0.02,71,20,5,True,0.8101019804350486
"(3,1)",0.4,0.02,72,21,5,True,0.8354987082588483
"(3,1)",0.4,0.02,73,15,5,True,0.874493927125506
"(3,1)",0.4,0.02,74,30,5,True,0.7814863903795176
"(3,1)",0.4,0.02,75,24,5,True,0.8338320214975892
"(3,1)",0.4,0.02,76,13,5,True,0.8622047244094487
"(3,1)",0.4,0.02,77,15,5,True,0.8424071016120998
"(3,1)",0.4,0.02,78,13,5,True,0.8471799472076424
"(3,1)",0.4,0.02,79,14,5,True,0.8214140948263229
"(3,1)",0.4,0.02,80,27,5,True,0.8109797263599319
"(3,1)",0.4,0.02,81,28,5,True,0.8311996206733049
"(3,1)",0.4,0.02,82,70,1,False,0.2873478381892949
"(3,1)",0.4,0.02,83,19,5,True,0.8231705158678402
"(3,1)",0.4,0.02,84,26,5,True,0.878048780487805
"(3,1)",0.4,0.02,85,26,5,True,0.8130497975751226
"(3,1)",0.4,0.02,86,15,5,True,0.83206106870229
"(3,1)",0.4,0.02,87,70,2,False,0.3333581202022974
"(3,1)",0.4,0.02,88,21,5,True,0.8079618079618078
"(3,1)",0.4,0.02,89,17,5,True,0.8313990037660531
"(3,1)",0.4,0.02,90,14,5,True,0.8627450980392156
"(3,1)",0.4,0.02,91,11,5,True,0.8735259313665483
"(3,1)",0.4,0.02,92,18,5,True,0.874493927125506
"(3,1)",0.4,0.02,93,20,5,True,0.8450142767085698
"(3,1)",0.4,0.02,94,15,5,True,0.8719999999999999
"(3,1)",0.4,0.02,95,21,5,True,0.8168202247521861
"(3,1)",0.4,0.02,96,42,5,True,0.7711267605633803
"(3,1)",0.4,0.02,97,12,5,True,0.851608439986164
"(3,1)",0.4,0.02,98,70,3,False,0.598782910672084
"(3,1)",0.4,0.02,99,19,5,True,0.8634060825841648
"(3,1)",0.4,0.02,100,70,3,False,0.38454484096377517
