theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(1,2)",0.6,0.02,1,0.69,0.31,0.0,0.0,0.0,0.0
"(1,2)",0.6,0.02,2,0.4,0.6,0.0,0.0,0.0,0.0
"(1,2)",0.6,0.02,3,0.33,0.65,0.02,0.0,0.0,0.0
"(1,2)",0.6,0.02,4,0.2,0.69,0.11,0.0,0.0,0.0
"(1,2)",0.6,0.02,5,0.16,0.62,0.2,0.02,0.0,0.0
"(1,2)",0.6,0.02,6,0.12,0.55,0.25,0.08,0.0,0.0
"(1,2)",0.6,0.02,7,0.11,0.5,0.27,0.09,0.03,0.0
"(1,2)",0.6,0.02,8,0.11,0.41,0.33,0.11,0.04,0.0
"(1,2)",0.6,0.02,9,0.11,0.34,0.36,0.14,0.05,0.0
"(1,2)",0.6,0.02,10,0.1,0.29,0.37,0.15,0.08,0.01
"(1,2)",0.6,0.02,11,0.08,0.29,0.34,0.19,0.07,0.03
"(1,2)",0.6,0.02,12,0.06,0.28,0.33,0.2,0.07,0.06
"(1,2)",0.6,0.02,13,0.06,0.27,0.26,0.28,0.05,0.08
"(1,2)",0.6,0.02,14,0.06,0.26,0.22,0.29,0.09,0.08
"(1,2)",0.6,0.02,15,0.06,0.24,0.2,0.28,0.1,0.12
"(1,2)",0.6,0.02,16,0.06,0.24,0.19,0.28,0.08,0.15
"(1,2)",0.6,0.02,17,0.05,0.25,0.18,0.23,0.12,0.17
"(1,2)",0.6,0.02,18,0.05,0.24,0.18,0.22,0.13,0.18
"(1,2)",0.6,0.02,19,0.05,0.23,0.17,0.18,0.18,0.19
"(1,2)",0.6,0.02,20,0.05,0.23,0.16,0.15,0.19,0.22
"(1,2)",0.6,0.02,21,0.04,0.23,0.16,0.15,0.17,0.25
"(1,2)",0.6,0.02,22,0.04,0.22,0.17,0.14,0.15,0.28
"(1,2)",0.6,0.02,23,0.04,0.21,0.16,0.14,0.13,0.32
"(1,2)",0.6,0.02,24,0.04,0.2,0.16,0.13,0.12,0.35
"(1,2)",0.6,0.02,25,0.04,0.2,0.15,0.12,0.11,0.38
"(1,2)",0.6,0.02,26,0.04,0.19,0.15,0.12,0.11,0.39
"(1,2)",0.6,0.02,27,0.04,0.19,0.13,0.13,0.08,0.43
"(1,2)",0.6,0.02,28,0.04,0.19,0.12,0.14,0.08,0.43
"(1,2)",0.6,0.02,29,0.04,0.19,0.1,0.15,0.08,0.44
"(1,2)",0.6,0.02,30,0.04,0.19,0.1,0.14,0.08,0.45
"(1,2)",0.6,0.02,31,0.04,0.19,0.1,0.14,0.06,0.47
"(1,2)",0.6,0.02,32,0.04,0.19,0.1,0.12,0.06,0.49
"(1,2)",0.6,0.02,33,0.04,0.19,0.1,0.12,0.05,0.5
"(1,2)",0.6,0.02,34,0.04,0.19,0.1,0.12,0.04,0.51
"(1,2)",0.6,0.02,35,0.04,0.19,0.1,0.1,0.06,0.51
"(1,2)",0.6,0.02,36,0.04,0.19,0.1,0.1,0.03,0.54
"(1,2)",0.6,0.02,37,0.04,0.19,0.09,0.1,0.04,0.54
"(1,2)",0.6,0.02,38,0.04,0.19,0.09,0.1,0.03,0.55
"(1,2)",0.6,0.02,39,0.04,0.19,0.09,0.1,0.03,0.55
"(1,2)",0.6,0.02,40,0.04,0.19,0.09,0.1,0.02,0.56
"(1,2)",0.6,0.02,41,0.04,0.19,0.08,0.1,0.03,0.56
"(1,2)",0.6,0.02,42,0.04,0.19,0.07,0.09,0.04,0.57
"(1,2)",0.6,0.02,43,0.04,0.18,0.08,0.09,0.04,0.57
"(1,2)",0.6,0.02,44,0.04,0.18,0.07,0.1,0.04,0.57
"(1,2)",0.6,0.02,45,0.04,0.18,0.06,0.11,0.04,0.57
"(1,2)",0.6,0.02,46,0.04,0.17,0.07,0.11,0.04,0.57
"(1,2)",0.6,0.02,47,0.04,0.17,0.07,0.11,0.03,0.58
"(1,2)",0.6,0.02,48,0.04,0.17,0.07,0.11,0.03,0.58
"(1,2)",0.6,0.02,49,0.04,0.17,0.07,0.11,0.03,0.58
"(1,2)",0.6,0.02,50,0.04,0.17,0.07,0.1,0.04,0.58
"(1,2)",0.6,0.02,51,0.04,0.17,0.07,0.09,0.05,0.58
"(1,2)",0.6,0.02,52,0.04,0.17,0.06,0.1,0.05,0.58
"(1,2)",0.6,0.02,53,0.04,0.17,0.06,0.09,0.06,0.58
"(1,2)",0.6,0.02,54,0.04,0.17,0.06,0.09,0.06,0.58
"(1,2)",0.6,0.02,55,0.04,0.17,0.05,0.1,0.05,0.59
"(1,2)",0.6,0.02,56,0.04,0.17,0.05,0.09,0.06,0.59
"(1,2)",0.6,0.02,57,0.04,0.17,0.05,0.09,0.05,0.6
"(1,2)",0.6,0.02,58,0.04,0.17,0.05,0.09,0.04,0.61
"(1,2)",0.6,0.02,59,0.04,0.17,0.05,0.09,0.04,0.61
"(1,2)",0.6,0.02,60,0.04,0.16,0.06,0.09,0.04,0.61
"(1,2)",0.6,0.02,61,0.04,0.16,0.06,0.09,0.04,0.61
"(1,2)",0.6,0.02,62,0.04,0.16,0.06,0.08,0.05,0.61
"(1,2)",0.6,0.02,63,0.04,0.16,0.04,0.1,0.05,0.61
"(1,2)",0.6,0.02,64,0.04,0.16,0.04,0.09,0.06,0.61
"(1,2)",0.6,0.02,65,0.04,0.16,0.04,0.09,0.05,0.62
"(1,2)",0.6,0.02,66,0.04,0.16,0.04,0.08,0.05,0.63
"(1,2)",0.6,0.02,67,0.04,0.16,0.04,0.08,0.05,0.63
"(1,2)",0.6,0.02,68,0.04,0.16,0.04,0.08,0.05,0.63
"(1,2)",0.6,0.02,69,0.04,0.15,0.05,0.08,0.05,0.63
"(1,2)",0.6,0.02,70,0.04,0.15,0.05,0.08,0.04,0.64
