theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(5,1)",0.2,0.02,1,1.0,0.0,0.0,0.0,0.0,0.0
"(5,1)",0.2,0.02,2,0.8,0.2,0.0,0.0,0.0,0.0
"(5,1)",0.2,0.02,3,0.68,0.3,0.02,0.0,0.0,0.0
"(5,1)",0.2,0.02,4,0.49,0.46,0.04,0.01,0.0,0.0
"(5,1)",0.2,0.02,5,0.23,0.58,0.16,0.03,0.0,0.0
"(5,1)",0.2,0.02,6,0.14,0.5,0.25,0.11,0.0,0.0
"(5,1)",0.2,0.02,7,0.1,0.39,0.27,0.24,0.0,0.0
"(5,1)",0.2,0.02,8,0.05,0.28,0.3,0.28,0.09,0.0
"(5,1)",0.2,0.02,9,0.04,0.2,0.28,0.26,0.21,0.01
"(5,1)",0.2,0.02,10,0.02,0.17,0.23,0.31,0.19,0.08
"(5,1)",0.2,0.02,11,0.01,0.15,0.14,0.34,0.26,0.1
"(5,1)",0.2,0.02,12,0.01,0.14,0.11,0.27,0.24,0.23
"(5,1)",0.2,0.02,13,0.0,0.14,0.07,0.22,0.26,0.31
"(5,1)",0.2,0.02,14,0.0,0.14,0.04,0.2,0.24,0.38
"(5,1)",0.2,0.02,15,0.0,0.14,0.04,0.14,0.25,0.43
"(5,1)",0.2,0.02,16,0.0,0.13,0.03,0.09,0.22,0.53
"(5,1)",0.2,0.02,17,0.0,0.12,0.02,0.09,0.17,0.6
"(5,1)",0.2,0.02,18,0.0,0.11,0.03,0.08,0.1,0.68
"(5,1)",0.2,0.02,19,0.0,0.1,0.03,0.06,0.12,0.69
"(5,1)",0.2,0.02,20,0.0,0.08,0.04,0.07,0.11,0.7
"(5,1)",0.2,0.02,21,0.0,0.07,0.03,0.08,0.09,0.73
"(5,1)",0.2,0.02,22,0.0,0.06,0.03,0.04,0.11,0.76
"(5,1)",0.2,0.02,23,0.0,0.06,0.02,0.05,0.05,0.82
"(5,1)",0.2,0.02,24,0.0,0.05,0.02,0.02,0.07,0.84
"(5,1)",0.2,0.02,25,0.0,0.05,0.01,0.03,0.06,0.85
"(5,1)",0.2,0.02,26,0.0,0.05,0.01,0.03,0.03,0.88
"(5,1)",0.2,0.02,27,0.0,0.05,0.0,0.02,0.05,0.88
"(5,1)",0.2,0.02,28,0.0,0.05,0.0,0.02,0.03,0.9
"(5,1)",0.2,0.02,29,0.0,0.05,0.0,0.02,0.02,0.91
"(5,1)",0.2,0.02,30,0.0,0.05,0.0,0.01,0.02,0.92
"(5,1)",0.2,0.02,31,0.0,0.05,0.0,0.0,0.02,0.93
"(5,1)",0.2,0.02,32,0.0,0.05,0.0,0.0,0.01,0.94
"(5,1)",0.2,0.02,33,0.0,0.05,0.0,0.0,0.01,0.94
"(5,1)",0.2,0.02,34,0.0,0.05,0.0,0.0,0.0,0.95
"(5,1)",0.2,0.02,35,0.0,0.05,0.0,0.0,0.0,0.95
"(5,1)",0.2,0.02,36,0.0,0.05,0.0,0.0,0.0,0.95
"(5,1)",0.2,0.02,37,0.0,0.05,0.0,0.0,0.0,0.95
"(5,1)",0.2,0.02,38,0.0,0.05,0.0,0.0,0.0,0.95
"(5,1)",0.2,0.02,39,0.0,0.05,0.0,0.0,0.0,0.95
"(5,1)",0.2,0.02,40,0.0,0.05,0.0,0.0,0.0,0.95
"(5,1)",0.2,0.02,41,0.0,0.05,0.0,0.0,0.0,0.95
"(5,1)",0.2,0.02,42,0.0,0.04,0.01,0.0,0.0,0.95
"(5,1)",0.2,0.02,43,0.0,0.04,0.0,0.01,0.0,0.95
"(5,1)",0.2,0.02,44,0.0,0.04,0.0,0.0,0.01,0.95
"(5,1)",0.2,0.02,45,0.0,0.03,0.01,0.0,0.01,0.95
"(5,1)",0.2,0.02,46,0.0,0.03,0.01,0.0,0.01,0.95
"(5,1)",0.2,0.02,47,0.0,0.03,0.01,0.0,0.0,0.96
"(5,1)",0.2,0.02,48,0.0,0.03,0.0,0.01,0.0,0.96
"(5,1)",0.2,0.02,49,0.0,0.03,0.0,0.0,0.01,0.96
"(5,1)",0.2,0.02,50,0.0,0.03,0.0,0.0,0.0,0.97
"(5,1)",0.2,0.02,51,0.0,0.03,0.0,0.0,0.0,0.97
"(5,1)",0.2,0.02,52,0.0,0.02,0.01,0.0,0.0,0.97
"(5,1)",0.2,0.02,53,0.0,0.02,0.01,0.0,0.0,0.97
