theta,gen,true_prior,run_number,trials_completed,boxes_opened,solved,final_theta
"(1,3)",0.6,0.02,1,70,2,False,0.22675769045496733
"(1,3)",0.6,0.02,2,35,5,True,0.6034146590649663
"(1,3)",0.6,0.02,3,15,5,True,0.600013484967555
"(1,3)",0.6,0.02,4,60,5,True,0.569768888249597
"(1,3)",0.6,0.02,5,40,5,True,0.49176077032093296
"(1,3)",0.6,0.02,6,23,5,True,0.5930760483230703
"(1,3)",0.6,0.02,7,70,2,False,0.22221726524200966
"(1,3)",0.6,0.02,8,70,1,False,0.1499764437614431
"(1,3)",0.6,0.02,9,16,5,True,0.6025605438889443
"(1,3)",0.6,0.02,10,34,5,True,0.5489357611922606
"(1,3)",0.6,0.02,11,70,2,False,0.2224956222388145
"(1,3)",0.6,0.02,12,36,5,True,0.5336139886187278
"(1,3)",0.6,0.02,13,24,5,True,0.6054655417008885
"(1,3)",0.6,0.02,14,70,2,False,0.25889519817712553
"(1,3)",0.6,0.02,15,70,2,False,0.2363354523184215
"(1,3)",0.6,0.02,16,34,5,True,0.5781287772978969
"(1,3)",0.6,0.02,17,70,2,False,0.1941047488406664
"(1,3)",0.6,0.02,18,70,3,False,0.2953407556014421
"(1,3)",0.6,0.02,19,70,2,False,0.22016186099444116
"(1,3)",0.6,0.02,20,20,5,True,0.5689409552136495
"(1,3)",0.6,0.02,21,70,1,False,0.15270200363878836
"(1,3)",0.6,0.02,22,66,5,True,0.5380489768188983
"(1,3)",0.6,0.02,23,12,5,True,0.6227717941982212
"(1,3)",0.6,0.02,24,24,5,True,0.5970060864010568
"(1,3)",0.6,0.02,25,28,5,True,0.5755226263576383
"(1,3)",0.6,0.02,26,35,5,True,0.5236503438579936
"(1,3)",0.6,0.02,27,29,5,True,0.5902255639097744
"(1,3)",0.6,0.02,28,70,2,False,0.20701816210265364
"(1,3)",0.6,0.02,29,70,3,False,0.25877423639704916
"(1,3)",0.6,0.02,30,70,1,False,0.1368710586179739
"(1,3)",0.6,0.02,31,70,0,False,0.07446720432725551
"(1,3)",0.6,0.02,32,19,5,True,0.6130007558578987
"(1,3)",0.6,0.02,33,18,5,True,0.6007751937984496
"(1,3)",0.6,0.02,34,31,5,True,0.5895522388059701
"(1,3)",0.6,0.02,35,62,5,True,0.4559855522723976
"(1,3)",0.6,0.02,36,25,5,True,0.5299627606259735
"(1,3)",0.6,0.02,37,70,1,False,0.14521610289184245
"(1,3)",0.6,0.02,38,70,2,False,0.2122770218938
"(1,3)",0.6,0.02,39,15,5,True,0.6188374928030107
"(1,3)",0.6,0.02,40,70,2,False,0.2436113157895355
"(1,3)",0.6,0.02,41,20,5,True,0.6167693288020393
"(1,3)",0.6,0.02,42,24,5,True,0.5768024356880239
"(1,3)",0.6,0.02,43,70,3,False,0.2798125356660923
"(1,3)",0.6,0.02,44,23,5,True,0.6111024978980446
"(1,3)",0.6,0.02,45,70,2,False,0.2150795225908152
"(1,3)",0.6,0.02,46,26,5,True,0.5976627712854756
"(1,3)",0.6,0.02,47,19,5,True,0.5861184710712313
"(1,3)",0.6,0.02,48,26,5,True,0.5855710902658222
"(1,3)",0.6,0.02,49,70,1,False,0.14182360078606795
"(1,3)",0.6,0.02,50,32,5,True,0.6096654275092936
"(1,3)",0.6,0.02,51,31,5,True,0.5359624191685871
"(1,3)",0.6,0.02,52,38,5,True,0.5150322905803678
"(1,3)",0.6,0.02,53,70,1,False,0.1329371532819792
"(1,3)",0.6,0.02,54,70,0,False,0.07390501033580958
"(1,3)",0.6,0.02,55,70,3,False,0.2731007003038726
"(1,3)",0.6,0.02,56,51,5,True,0.4624745355674726
"(1,3)",0.6,0.02,57,38,5,True,0.5978971533544004
"(1,3)",0.6,0.02,58,33,5,True,0.5343506829997158
"(1,3)",0.6,0.02,59,18,5,True,0.6123523638364586
"(1,3)",0.6,0.02,60,70,0,False,0.0757549971742287
"(1,3)",0.6,0.02,61,66,5,True,0.4688486761020071
"(1,3)",0.6,0.02,62,70,2,False,0.22547944100991135
"(1,3)",0.6,0.02,63,23,5,True,0.5599583519262233
"(1,3)",0.6,0.02,64,27,5,True,0.5679264898457677
"(1,3)",0.6,0.02,65,15,5,True,0.6274509803921569
"(1,3)",0.6,0.02,66,27,5,True,0.5965432066185054
"(1,3)",0.6,0.02,67,25,5,True,0.6141732283464567
"(1,3)",0.6,0.02,68,25,5,True,0.6053639846743295
"(1,3)",0.6,0.02,69,25,5,True,0.5125469865038066
"(1,3)",0.6,0.02,70,28,5,True,0.5327742763242322
"(1,3)",0.6,0.02,71,22,5,True,0.6230769230769231
"(1,3)",0.6,0.02,72,11,5,True,0.631578947368421
"(1,3)",0.6,0.02,73,63,5,True,0.6269230769230769
"(1,3)",0.6,0.02,74,43,5,True,0.5099752576716505
"(1,3)",0.6,0.02,75,70,3,False,0.2974331300227273
"(1,3)",0.6,0.02,76,28,5,True,0.5947955390334572
"(1,3)",0.6,0.02,77,70,3,False,0.2874811598333069
"(1,3)",0.6,0.02,78,47,5,True,0.569265874656169
"(1,3)",0.6,0.02,79,70,1,False,0.13607172543471718
"(1,3)",0.6,0.02,80,27,5,True,0.5930665170348504
"(1,3)",0.6,0.02,81,23,5,True,0.5882008281565754
"(1,3)",0.6,0.02,82,57,5,True,0.539393611161147
"(1,3)",0.6,0.02,83,70,2,False,0.21924212318637426
"(1,3)",0.6,0.02,84,28,5,True,0.5159916712484601
"(1,3)",0.6,0.02,85,41,5,True,0.5162327472913545
"(1,3)",0.6,0.02,86,30,5,True,0.5714234113758263
"(1,3)",0.6,0.02,87,70,2,False,0.23216371212834183
"(1,3)",0.6,0.02,88,46,5,True,0.5409498668276868
"(1,3)",0.6,0.02,89,38,5,True,0.5750671499017466
"(1,3)",0.6,0.02,90,29,5,True,0.5824373076787908
"(1,3)",0.6,0.02,91,11,5,True,0.5976730128175868
"(1,3)",0.6,0.02,92,33,5,True,0.6309523809523809
"(1,3)",0.6,0.02,93,12,5,True,0.6268873727770943
"(1,3)",0.6,0.02,94,26,5,True,0.5388086314688579
"(1,3)",0.6,0.02,95,45,5,True,0.5344466427259177
"(1,3)",0.6,0.02,96,70,3,False,0.2776896791098622
"(1,3)",0.6,0.02,97,26,5,True,0.5270651863848089
"(1,3)",0.6,0.02,98,25,5,True,0.6071815860356107
"(1,3)",0.6,0.02,99,25,5,True,0.5642401241109932
"(1,3)",0.6,0.02,100,36,5,True,0.5740072202166064
