theta,gen,true_prior,run_number,trials_completed,boxes_opened,solved,final_theta
"(4,1)",0.6,0.02,1,14,5,True,0.8916967509025271
"(4,1)",0.6,0.02,2,11,5,True,0.8750432421291302
"(4,1)",0.6,0.02,3,45,5,True,0.810703868650325
"(4,1)",0.6,0.02,4,23,5,True,0.8206159212810465
"(4,1)",0.6,0.02,5,47,5,True,0.8366375892149088
"(4,1)",0.6,0.02,6,27,5,True,0.8185148189020279
"(4,1)",0.6,0.02,7,25,5,True,0.8063493416103661
"(4,1)",0.6,0.02,8,24,5,True,0.8314321078612219
"(4,1)",0.6,0.02,9,20,5,True,0.8199066770425224
"(4,1)",0.6,0.02,10,17,5,True,0.8627039589116129
"(4,1)",0.6,0.02,11,38,5,True,0.8052690232526077
"(4,1)",0.6,0.02,12,70,2,False,0.39523811309374696
"(4,1)",0.6,0.02,13,26,5,True,0.772555466485286
"(4,1)",0.6,0.02,14,30,5,True,0.798617719268279
"(4,1)",0.6,0.02,15,21,5,True,0.8912280701754386
"(4,1)",0.6,0.02,16,52,5,True,0.751353646883958
"(4,1)",0.6,0.02,17,70,1,False,0.3403219798171744
"(4,1)",0.6,0.02,18,16,5,True,0.8316498316498316
"(4,1)",0.6,0.02,19,20,5,True,0.8776389992452343
"(4,1)",0.6,0.02,20,31,5,True,0.8350168350168351
"(4,1)",0.6,0.02,21,43,5,True,0.8104753891459823
"(4,1)",0.6,0.02,22,21,5,True,0.8333333333333334
"(4,1)",0.6,0.02,23,14,5,True,0.8688419903104256
"(4,1)",0.6,0.02,24,12,5,True,0.8834688346883469
"(4,1)",0.6,0.02,25,25,5,True,0.8118789617399107
"(4,1)",0.6,0.02,26,9,5,True,0.8913043478260869
"(4,1)",0.6,0.02,27,47,5,True,0.8781401297159039
"(4,1)",0.6,0.02,28,17,5,True,0.8615916955017301
"(4,1)",0.6,0.02,29,46,5,True,0.8069009953701793
"(4,1)",0.6,0.02,30,17,5,True,0.8650519031141868
"(4,1)",0.6,0.02,31,12,5,True,0.8920863309352518
"(4,1)",0.6,0.02,32,21,5,True,0.8331065361529459
"(4,1)",0.6,0.02,33,40,5,True,0.7920582912853451
"(4,1)",0.6,0.02,34,22,5,True,0.8288590604026846
"(4,1)",0.6,0.02,35,27,5,True,0.8373040535874595
"(4,1)",0.6,0.02,36,26,5,True,0.8220478325859493
"(4,1)",0.6,0.02,37,31,5,True,0.8861209964412812
"(4,1)",0.6,0.02,38,8,5,True,0.8884892086330936
"(4,1)",0.6,0.02,39,39,5,True,0.8023175401341679
"(4,1)",0.6,0.02,40,12,5,True,0.8754723903591567
"(4,1)",0.6,0.02,41,29,5,True,0.8064157119476267
"(4,1)",0.6,0.02,42,70,2,False,0.4172125998413022
"(4,1)",0.6,0.02,43,13,5,True,0.8800765367137049
"(4,1)",0.6,0.02,44,22,5,True,0.8594431161509206
"(4,1)",0.6,0.02,45,16,5,True,0.8312536724682176
"(4,1)",0.6,0.02,46,20,5,True,0.8685121107266436
"(4,1)",0.6,0.02,47,34,5,True,0.8438661797207769
"(4,1)",0.6,0.02,48,40,5,True,0.7806443048728137
"(4,1)",0.6,0.02,49,54,5,True,0.7924826995925781
"(4,1)",0.6,0.02,50,70,2,False,0.4161060914378672
"(4,1)",0.6,0.02,51,64,5,True,0.6892843175596401
"(4,1)",0.6,0.02,52,19,5,True,0.8861209964412812
"(4,1)",0.6,0.02,53,70,3,False,0.5877569530830937
"(4,1)",0.6,0.02,54,17,5,True,0.8724119550259571
"(4,1)",0.6,0.02,55,22,5,True,0.8749979657265611
"(4,1)",0.6,0.02,56,70,2,False,0.4190946696208003
"(4,1)",0.6,0.02,57,25,5,True,0.8264851779819862
"(4,1)",0.6,0.02,58,70,1,False,0.34609058993530767
"(4,1)",0.6,0.02,59,12,5,True,0.888276648299449
"(4,1)",0.6,0.02,60,70,1,False,0.3956703046131957
"(4,1)",0.6,0.02,61,22,5,True,0.8393478036606301
"(4,1)",0.6,0.02,62,11,5,True,0.8880866425992779
"(4,1)",0.6,0.02,63,15,5,True,0.8320970266040689
"(4,1)",0.6,0.02,64,20,5,True,0.8353939393939394
