theta,gen,true_prior,run_number,trials_completed,boxes_opened,solved,final_theta
"(19,1)",0.4,0.02,1,23,5,True,0.9409395973154362
"(19,1)",0.4,0.02,2,17,5,True,0.9541469200503702
"(19,1)",0.4,0.02,3,33,5,True,0.9373333333333334
"(19,1)",0.4,0.02,4,18,5,True,0.9566009310893606
"(19,1)",0.4,0.02,5,13,5,True,0.9397938946563271
"(19,1)",0.4,0.02,6,12,5,True,0.9586776859504132
"(19,1)",0.4,0.02,7,15,5,True,0.9355505959498692
"(19,1)",0.4,0.02,8,25,5,True,0.9566327449884884
"(19,1)",0.4,0.02,9,28,5,True,0.9497282608695652
"(19,1)",0.4,0.02,10,17,5,True,0.9577213731978027
"(19,1)",0.4,0.02,11,34,5,True,0.9534883720930233
"(19,1)",0.4,0.02,12,23,5,True,0.946236559139785
"(19,1)",0.4,0.02,13,14,5,True,0.957503551921899
"(19,1)",0.4,0.02,14,39,5,True,0.9307589880159787
"(19,1)",0.4,0.02,15,15,5,True,0.9533881544706985
"(19,1)",0.4,0.02,16,20,5,True,0.9488843552665985
"(19,1)",0.4,0.02,17,15,5,True,0.9574759945130314
"(19,1)",0.4,0.02,18,11,5,True,0.944949793266391
"(19,1)",0.4,0.02,19,32,5,True,0.9561643835616438
"(19,1)",0.4,0.02,20,17,5,True,0.9566009310893606
"(19,1)",0.4,0.02,21,15,5,True,0.949283898567797
"(19,1)",0.4,0.02,22,26,5,True,0.9346666666666666
"(19,1)",0.4,0.02,23,27,5,True,0.9393464052287581
"(19,1)",0.4,0.02,24,31,5,True,0.9374469735534385
"(19,1)",0.4,0.02,25,10,5,True,0.9566124338433631
"(19,1)",0.4,0.02,26,30,5,True,0.9356532374216945
"(19,1)",0.4,0.02,27,35,5,True,0.9493261455525607
"(19,1)",0.4,0.02,28,9,5,True,0.9535869317394394
"(19,1)",0.4,0.02,29,19,5,True,0.9541004654148612
"(19,1)",0.4,0.02,30,17,5,True,0.9498644986449865
"(19,1)",0.4,0.02,31,21,5,True,0.9579283433841788
"(19,1)",0.4,0.02,32,25,5,True,0.9368823531278804
"(19,1)",0.4,0.02,33,24,5,True,0.9436044657097288
"(19,1)",0.4,0.02,34,26,5,True,0.9433198380566801
"(19,1)",0.4,0.02,35,16,5,True,0.9579283433841788
"(19,1)",0.4,0.02,36,18,5,True,0.9562836997096641
"(19,1)",0.4,0.02,37,16,5,True,0.9550408719346049
"(19,1)",0.4,0.02,38,32,5,True,0.94579945799458
"(19,1)",0.4,0.02,39,25,5,True,0.9420485175202157
"(19,1)",0.4,0.02,40,20,5,True,0.9576502732240436
"(19,1)",0.4,0.02,41,20,5,True,0.950394515933509
"(19,1)",0.4,0.02,42,28,5,True,0.932
"(19,1)",0.4,0.02,43,32,5,True,0.9369132705384895
"(19,1)",0.4,0.02,44,28,5,True,0.9413333333333334
"(19,1)",0.4,0.02,45,21,5,True,0.958904109589041
"(19,1)",0.4,0.02,46,23,5,True,0.9359999999999999
"(19,1)",0.4,0.02,47,16,5,True,0.9556831189243674
"(19,1)",0.4,0.02,48,8,5,True,0.9577702828206379
"(19,1)",0.4,0.02,49,16,5,True,0.946236559139785
"(19,1)",0.4,0.02,50,28,5,True,0.9526387009472259
"(19,1)",0.4,0.02,51,18,5,True,0.9536784741144414
"(19,1)",0.4,0.02,52,18,5,True,0.951417004048583
"(19,1)",0.4,0.02,53,26,5,True,0.9443620732741719
"(19,1)",0.4,0.02,54,38,5,True,0.9386620791283313
"(19,1)",0.4,0.02,55,31,5,True,0.9329378109452736
"(19,1)",0.4,0.02,56,27,5,True,0.9592944369063772
"(19,1)",0.4,0.02,57,13,5,True,0.954696188600556
"(19,1)",0.4,0.02,58,17,5,True,0.9549180327868851
"(19,1)",0.4,0.02,59,24,5,True,0.9535519125683061
"(19,1)",0.4,0.02,60,70,3,False,0.2471910112359551
"(19,1)",0.4,0.02,61,25,5,True,0.9306666666666666
"(19,1)",0.4,0.02,62,15,5,True,0.9551020408163264
"(19,1)",0.4,0.02,63,31,5,True,0.929427430093209
"(19,1)",0.4,0.02,64,22,5,True,0.9536784741144414
"(19,1)",0.4,0.02,65,23,5,True,0.941710896467621
"(19,1)",0.4,0.02,66,26,5,True,0.9544081317750721
"(19,1)",0.4,0.02,67,30,5,True,0.9531459170013387
"(19,1)",0.4,0.02,68,15,5,True,0.9571046659151129
"(19,1)",0.4,0.02,69,29,5,True,0.9426666666666667
"(19,1)",0.4,0.02,70,32,5,True,0.9523160762942778
"(19,1)",0.4,0.02,71,7,5,True,0.9582028342298563
"(19,1)",0.4,0.02,72,24,5,True,0.9554054054054053
"(19,1)",0.4,0.02,73,21,5,True,0.9466666666666668
"(19,1)",0.4,0.02,74,25,5,True,0.9433681414891637
"(19,1)",0.4,0.02,75,19,5,True,0.9349992742634302
"(19,1)",0.4,0.02,76,8,5,True,0.958904109589041
"(19,1)",0.4,0.02,77,27,5,True,0.9562243502051984
"(19,1)",0.4,0.02,78,31,5,True,0.9569936744555961
"(19,1)",0.4,0.02,79,13,5,True,0.9526709749407225
"(19,1)",0.4,0.02,80,33,5,True,0.9528151852185515
"(19,1)",0.4,0.02,81,20,5,True,0.9552845528455284
"(19,1)",0.4,0.02,82,15,5,True,0.9572164949316326
"(19,1)",0.4,0.02,83,29,5,True,0.9539295392953929
"(19,1)",0.4,0.02,84,17,5,True,0.951261610576829
"(19,1)",0.4,0.02,85,17,5,True,0.9373333333333334
"(19,1)",0.4,0.02,86,24,5,True,0.9530886130650854
"(19,1)",0.4,0.02,87,36,5,True,0.9485615365592284
"(19,1)",0.4,0.02,88,12,5,True,0.9587912087912088
"(19,1)",0.4,0.02,89,19,5,True,0.9509984421470047
"(19,1)",0.4,0.02,90,32,5,True,0.9268602539859389
"(19,1)",0.4,0.02,91,18,5,True,0.9561643835616438
"(19,1)",0.4,0.02,92,19,5,True,0.9407202655698246
"(19,1)",0.4,0.02,93,22,5,True,0.9512855209742896
"(19,1)",0.4,0.02,94,17,5,True,0.9578516710774795
"(19,1)",0.4,0.02,95,17,5,True,0.9518392516291191
"(19,1)",0.4,0.02,96,33,5,True,0.9551020408163264
"(19,1)",0.4,0.02,97,29,5,True,0.9491659056316591
"(19,1)",0.4,0.02,98,17,5,True,0.9454766715946725
"(19,1)",0.4,0.02,99,19,5,True,0.9565467139719548
"(19,1)",0.4,0.02,100,28,5,True,0.9483063802397619
