theta,gen,true_prior,run_number,trials_completed,boxes_opened,solved,final_theta
"(1,1)",0.7,0.02,1,70,2,False,0.2932338012822301
"(1,1)",0.7,0.02,2,28,5,True,0.7411585199028545
"(1,1)",0.7,0.02,3,24,5,True,0.7444219560524917
"(1,1)",0.7,0.02,4,38,5,True,0.6915621436716078
"(1,1)",0.7,0.02,5,16,5,True,0.8210526315789474
"(1,1)",0.7,0.02,6,27,5,True,0.7021675913683728
"(1,1)",0.7,0.02,7,27,5,True,0.737686686225178
"(1,1)",0.7,0.02,8,62,5,True,0.7860404435746902
"(1,1)",0.7,0.02,9,12,5,True,0.8404255319148937
"(1,1)",0.7,0.02,10,35,5,True,0.6546531573407072
"(1,1)",0.7,0.02,11,70,4,False,0.3769786977560169
"(1,1)",0.7,0.02,12,37,5,True,0.787128712871287
"(1,1)",0.7,0.02,13,70,2,False,0.2690512519862659
"(1,1)",0.7,0.02,14,70,1,False,0.17858783573796402
"(1,1)",0.7,0.02,15,17,5,True,0.7772277227722771
"(1,1)",0.7,0.02,16,33,5,True,0.669107257546564
"(1,1)",0.7,0.02,17,70,0,False,0.07725875052824471
"(1,1)",0.7,0.02,18,48,5,True,0.7579662944248289
"(1,1)",0.7,0.02,19,70,3,False,0.3116081479262024
"(1,1)",0.7,0.02,20,12,5,True,0.8141786704074998
"(1,1)",0.7,0.02,21,38,5,True,0.7327100883185542
"(1,1)",0.7,0.02,22,25,5,True,0.7300253153617626
"(1,1)",0.7,0.02,23,70,2,False,0.24126876382906368
"(1,1)",0.7,0.02,24,70,0,False,0.08453424696056291
"(1,1)",0.7,0.02,25,70,1,False,0.17499235005135555
"(1,1)",0.7,0.02,26,31,5,True,0.7834438837094345
"(1,1)",0.7,0.02,27,70,2,False,0.2546467533722059
"(1,1)",0.7,0.02,28,23,5,True,0.718971563055817
"(1,1)",0.7,0.02,29,29,5,True,0.8258706467661692
"(1,1)",0.7,0.02,30,70,3,False,0.3504520648300802
"(1,1)",0.7,0.02,31,70,0,False,0.08643059110484673
"(1,1)",0.7,0.02,32,40,5,True,0.773463418778697
"(1,1)",0.7,0.02,33,23,5,True,0.8026695739256718
"(1,1)",0.7,0.02,34,14,5,True,0.8030303030303031
"(1,1)",0.7,0.02,35,52,5,True,0.7185542601972008
"(1,1)",0.7,0.02,36,23,5,True,0.8119010108966784
"(1,1)",0.7,0.02,37,10,5,True,0.831578947368421
"(1,1)",0.7,0.02,38,31,5,True,0.7596153846153846
"(1,1)",0.7,0.02,39,17,5,True,0.7807261285893486
"(1,1)",0.7,0.02,40,30,5,True,0.7633692749835895
"(1,1)",0.7,0.02,41,70,0,False,0.08428746059762077
"(1,1)",0.7,0.02,42,33,5,True,0.7035333978702807
"(1,1)",0.7,0.02,43,18,5,True,0.7472609150470738
"(1,1)",0.7,0.02,44,19,5,True,0.7946587400499675
"(1,1)",0.7,0.02,45,70,2,False,0.2669176689111818
"(1,1)",0.7,0.02,46,19,5,True,0.7109377884523
"(1,1)",0.7,0.02,47,13,5,True,0.8175239907665067
"(1,1)",0.7,0.02,48,23,5,True,0.7547603652670294
"(1,1)",0.7,0.02,49,70,0,False,0.08768016387904426
"(1,1)",0.7,0.02,50,70,2,False,0.29427474083781785
"(1,1)",0.7,0.02,51,27,5,True,0.7532916889690673
"(1,1)",0.7,0.02,52,18,5,True,0.7266661542324933
"(1,1)",0.7,0.02,53,36,5,True,0.6779835082587998
"(1,1)",0.7,0.02,54,27,5,True,0.7114486425155729
"(1,1)",0.7,0.02,55,22,5,True,0.7436599426196426
"(1,1)",0.7,0.02,56,70,1,False,0.16725960429405276
"(1,1)",0.7,0.02,57,22,5,True,0.7434257285003554
"(1,1)",0.7,0.02,58,14,5,True,0.7495910247405517
"(1,1)",0.7,0.02,59,70,4,False,0.5822222222222222
"(1,1)",0.7,0.02,60,69,5,True,0.6274186567401748
"(1,1)",0.7,0.02,61,17,5,True,0.7790111846588661
"(1,1)",0.7,0.02,62,30,5,True,0.6771190006622282
"(1,1)",0.7,0.02,63,70,1,False,0.17076312813697475
"(1,1)",0.7,0.02,64,15,5,True,0.8010030116077324
"(1,1)",0.7,0.02,65,16,5,True,0.7732449780680373
"(1,1)",0.7,0.02,66,20,5,True,0.753591372361255
"(1,1)",0.7,0.02,67,29,5,True,0.6982689372773924
"(1,1)",0.7,0.02,68,48,5,True,0.7380952380952381
"(1,1)",0.7,0.02,69,11,5,True,0.815921246030655
"(1,1)",0.7,0.02,70,29,5,True,0.775967527783002
"(1,1)",0.7,0.02,71,18,5,True,0.7614109967585028
"(1,1)",0.7,0.02,72,32,5,True,0.7875548484141314
"(1,1)",0.7,0.02,73,18,5,True,0.7937912961337813
"(1,1)",0.7,0.02,74,21,5,True,0.8238341968911916
"(1,1)",0.7,0.02,75,39,5,True,0.7622746044496098
"(1,1)",0.7,0.02,76,22,5,True,0.7630331753554502
"(1,1)",0.7,0.02,77,16,5,True,0.8125
"(1,1)",0.7,0.02,78,70,0,False,0.09134883835081033
"(1,1)",0.7,0.02,79,70,0,False,0.08764197981081488
"(1,1)",0.7,0.02,80,40,5,True,0.691219083160189
"(1,1)",0.7,0.02,81,68,5,True,0.8031088082901554
"(1,1)",0.7,0.02,82,34,5,True,0.7824014257707397
"(1,1)",0.7,0.02,83,70,2,False,0.25132324860133104
"(1,1)",0.7,0.02,84,70,0,False,0.08099209401468493
"(1,1)",0.7,0.02,85,70,1,False,0.1617391992320532
"(1,1)",0.7,0.02,86,70,2,False,0.25862257314855874
"(1,1)",0.7,0.02,87,42,5,True,0.6944229956618417
"(1,1)",0.7,0.02,88,70,1,False,0.16051382671304137
"(1,1)",0.7,0.02,89,33,5,True,0.6965104312844981
"(1,1)",0.7,0.02,90,30,5,True,0.81
"(1,1)",0.7,0.02,91,21,5,True,0.7681313354010809
"(1,1)",0.7,0.02,92,17,5,True,0.785188687012205
"(1,1)",0.7,0.02,93,21,5,True,0.7529050302221107
"(1,1)",0.7,0.02,94,11,5,True,0.8238341968911916
"(1,1)",0.7,0.02,95,70,0,False,0.09013197196918951
"(1,1)",0.7,0.02,96,13,5,True,0.7634632379098318
"(1,1)",0.7,0.02,97,20,5,True,0.7636749503662628
"(1,1)",0.7,0.02,98,70,0,False,0.07255339572403027
"(1,1)",0.7,0.02,99,25,5,True,0.7222730979998494
"(1,1)",0.7,0.02,100,42,5,True,0.7284853172982935
