theta,gen,true_prior,run_number,trials_completed,boxes_opened,solved,final_theta
"(15,1)",0.8,0.02,1,20,5,True,0.9461546742996949
"(15,1)",0.8,0.02,2,34,5,True,0.9156877141458638
"(15,1)",0.8,0.02,3,24,5,True,0.9483870967741935
"(15,1)",0.8,0.02,4,37,5,True,0.9435968971389526
"(15,1)",0.8,0.02,5,14,5,True,0.9506578947368421
"(15,1)",0.8,0.02,6,17,5,True,0.9492596392087034
"(15,1)",0.8,0.02,7,27,5,True,0.9523608719006891
"(15,1)",0.8,0.02,8,33,5,True,0.9289670913019227
"(15,1)",0.8,0.02,9,35,5,True,0.9197691197691198
"(15,1)",0.8,0.02,10,26,5,True,0.9474548440065682
"(15,1)",0.8,0.02,11,28,5,True,0.9453184368493546
"(15,1)",0.8,0.02,12,39,5,True,0.9319664479289664
"(15,1)",0.8,0.02,13,17,5,True,0.9369951534733441
"(15,1)",0.8,0.02,14,24,5,True,0.941747572815534
"(15,1)",0.8,0.02,15,18,5,True,0.9504950495049505
"(15,1)",0.8,0.02,16,15,5,True,0.9338196860016922
"(15,1)",0.8,0.02,17,43,5,True,0.927536231884058
"(15,1)",0.8,0.02,18,38,5,True,0.9216504799227581
"(15,1)",0.8,0.02,19,16,5,True,0.9471443679511633
"(15,1)",0.8,0.02,20,23,5,True,0.9380952380952381
"(15,1)",0.8,0.02,21,33,5,True,0.9431818181818181
"(15,1)",0.8,0.02,22,44,5,True,0.917329093799682
"(15,1)",0.8,0.02,23,24,5,True,0.9449803641206945
"(15,1)",0.8,0.02,24,20,5,True,0.940032414910859
"(15,1)",0.8,0.02,25,17,5,True,0.9490968801313628
"(15,1)",0.8,0.02,26,21,5,True,0.9174603174603174
"(15,1)",0.8,0.02,27,31,5,True,0.9276527331189711
"(15,1)",0.8,0.02,28,34,5,True,0.9370967741935483
"(15,1)",0.8,0.02,29,35,5,True,0.9168564061225741
"(15,1)",0.8,0.02,30,33,5,True,0.935275080906149
"(15,1)",0.8,0.02,31,34,5,True,0.9076682316118937
"(15,1)",0.8,0.02,32,30,5,True,0.9384116693679093
"(15,1)",0.8,0.02,33,18,5,True,0.9242563728135614
"(15,1)",0.8,0.02,34,37,5,True,0.9175911251980983
"(15,1)",0.8,0.02,35,34,5,True,0.9406914050111005
"(15,1)",0.8,0.02,36,18,5,True,0.9479365044613681
"(15,1)",0.8,0.02,37,13,5,True,0.9498200679519913
"(15,1)",0.8,0.02,38,34,5,True,0.9190476190476191
"(15,1)",0.8,0.02,39,26,5,True,0.9447154471544715
"(15,1)",0.8,0.02,40,17,5,True,0.9462221708799425
"(15,1)",0.8,0.02,41,46,5,True,0.9169329073482427
"(15,1)",0.8,0.02,42,19,5,True,0.9402529770934963
"(15,1)",0.8,0.02,43,34,5,True,0.8865030674846625
"(15,1)",0.8,0.02,44,30,5,True,0.914315954920745
"(15,1)",0.8,0.02,45,26,5,True,0.9493464052287581
"(15,1)",0.8,0.02,46,30,5,True,0.9387096774193548
"(15,1)",0.8,0.02,47,20,5,True,0.9510603588907015
"(15,1)",0.8,0.02,48,40,5,True,0.9291273389634046
"(15,1)",0.8,0.02,49,19,5,True,0.9421510721792853
"(15,1)",0.8,0.02,50,30,5,True,0.9505766062602965
"(15,1)",0.8,0.02,51,29,5,True,0.9344
"(15,1)",0.8,0.02,52,30,5,True,0.9131471435268904
"(15,1)",0.8,0.02,53,36,5,True,0.9447154471544715
"(15,1)",0.8,0.02,54,20,5,True,0.9490968801313628
"(15,1)",0.8,0.02,55,36,5,True,0.9226496761852416
"(15,1)",0.8,0.02,56,40,5,True,0.9157529093946231
"(15,1)",0.8,0.02,57,31,5,True,0.9197107948405719
"(15,1)",0.8,0.02,58,30,5,True,0.9291438195938991
"(15,1)",0.8,0.02,59,28,5,True,0.9321486268174476
"(15,1)",0.8,0.02,60,26,5,True,0.937941857583917
"(15,1)",0.8,0.02,61,24,5,True,0.9472447114129015
"(15,1)",0.8,0.02,62,29,5,True,0.9474548440065682
"(15,1)",0.8,0.02,63,31,5,True,0.9309791332263242
"(15,1)",0.8,0.02,64,28,5,True,0.9374589373331284
"(15,1)",0.8,0.02,65,41,5,True,0.9451612903225807
"(15,1)",0.8,0.02,66,36,5,True,0.9305127020317584
"(15,1)",0.8,0.02,67,35,5,True,0.9134220243133502
"(15,1)",0.8,0.02,68,20,5,True,0.9349574681449379
"(15,1)",0.8,0.02,69,12,5,True,0.9504132231404959
"(15,1)",0.8,0.02,70,37,5,True,0.9200765556960248
"(15,1)",0.8,0.02,71,43,5,True,0.9231999999999999
"(15,1)",0.8,0.02,72,19,5,True,0.9298245614035087
"(15,1)",0.8,0.02,73,32,5,True,0.9473645026801667
"(15,1)",0.8,0.02,74,18,5,True,0.9479642235902453
"(15,1)",0.8,0.02,75,43,5,True,0.9239302694136291
"(15,1)",0.8,0.02,76,22,5,True,0.9397394136807817
"(15,1)",0.8,0.02,77,34,5,True,0.9190476190476191
"(15,1)",0.8,0.02,78,19,5,True,0.9489311918069304
"(15,1)",0.8,0.02,79,30,5,True,0.9378410654338067
"(15,1)",0.8,0.02,80,24,5,True,0.9433656957928802
"(15,1)",0.8,0.02,81,42,5,True,0.9200318281281082
"(15,1)",0.8,0.02,82,29,5,True,0.9053779759563158
"(15,1)",0.8,0.02,83,31,5,True,0.9222222222222223
"(15,1)",0.8,0.02,84,17,5,True,0.9303476165892273
"(15,1)",0.8,0.02,85,40,5,True,0.9116719242902208
"(15,1)",0.8,0.02,86,37,5,True,0.9195923655844549
"(15,1)",0.8,0.02,87,11,5,True,0.9504132231404959
"(15,1)",0.8,0.02,88,27,5,True,0.9471649497288849
"(15,1)",0.8,0.02,89,28,5,True,0.9324180064772539
"(15,1)",0.8,0.02,90,39,5,True,0.9127546953345893
"(15,1)",0.8,0.02,91,30,5,True,0.9258243386243385
"(15,1)",0.8,0.02,92,18,5,True,0.9434213368259001
"(15,1)",0.8,0.02,93,25,5,True,0.9482755833609398
"(15,1)",0.8,0.02,94,36,5,True,0.8948644513567509
"(15,1)",0.8,0.02,95,25,5,True,0.9349273509087481
"(15,1)",0.8,0.02,96,21,5,True,0.9510603588907015
"(15,1)",0.8,0.02,97,18,5,True,0.9167151316813936
"(15,1)",0.8,0.02,98,30,5,True,0.9148804628667271
"(15,1)",0.8,0.02,99,52,5,True,0.9143822577574718
"(15,1)",0.8,0.02,100,37,5,True,0.9269841269841269
