Child_ID,SoC_variant,theta,p_gen,true_prior,run_number,seed,attempts,unique_key_box_pairs,revisit_attempts,revisit_rate,attempts_before_abandoning_color_matching,color_matching_abandoned,boxes_opened,solved,final_theta,trajectory_file
D026,SoC-Gen,"(19, 1)",0.8,0.02,1,9020076393886198422,27,27,0,0.0,0,True,5,True,0.9448183041722745,SoC-Gen\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02__run_001.json
D026,SoC-Gen,"(19, 1)",0.8,0.02,2,4473839444309580543,33,33,0,0.0,1,True,5,True,0.9568849738396145,SoC-Gen\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02__run_002.json
D026,SoC-Gen,"(19, 1)",0.8,0.02,3,8283798383901003502,20,20,0,0.0,1,True,5,True,0.9565650486161655,SoC-Gen\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02__run_003.json
D026,SoC-Gen,"(19, 1)",0.8,0.02,4,3481977344627863988,40,39,1,0.02564102564102564,1,True,5,True,0.9355704697986577,SoC-Gen\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02__run_004.json
D026,SoC-Gen,"(19, 1)",0.8,0.02,5,8353702240413757819,27,27,0,0.0,1,True,5,True,0.9567527650588714,SoC-Gen\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02__run_005.json
D026,SoC-Gen,"(19, 1)",0.8,0.02,6,8122595512054200450,22,22,0,0.0,2,True,5,True,0.9580981687545879,SoC-Gen\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02__run_006.json
D026,SoC-Gen,"(19, 1)",0.8,0.02,7,3244119519843147969,35,35,0,0.0,1,True,5,True,0.9293333333333333,SoC-Gen\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02__run_007.json
D026,SoC-Gen,"(19, 1)",0.8,0.02,8,5369379251670794180,33,32,1,0.03125,2,True,5,True,0.9453333333333334,SoC-Gen\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02__run_008.json
D026,SoC-Gen,"(19, 1)",0.8,0.02,9,8542319229964998656,21,20,1,0.05,1,True,5,True,0.9484396200814111,SoC-Gen\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02__run_009.json
D026,SoC-Gen,"(19, 1)",0.8,0.02,10,1509254725001859465,31,27,4,0.13333333333333333,1,True,5,True,0.9317433499117341,SoC-Gen\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02__run_010.json
D026,SoC-Gen,"(19, 1)",0.8,0.02,11,7929973839459160058,37,35,2,0.05555555555555555,1,True,5,True,0.932,SoC-Gen\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02__run_011.json
D026,SoC-Gen,"(19, 1)",0.8,0.02,12,4374950834831173002,17,17,0,0.0,2,True,5,True,0.9531889576392194,SoC-Gen\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02__run_012.json
D026,SoC-Gen,"(19, 1)",0.8,0.02,13,3876992988474115633,42,41,1,0.024390243902439025,1,True,5,True,0.9380888290713324,SoC-Gen\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02__run_013.json
D026,SoC-Gen,"(19, 1)",0.8,0.02,14,4926456284027951291,36,35,1,0.02857142857142857,1,True,5,True,0.9550408719346049,SoC-Gen\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02__run_014.json
D026,SoC-Gen,"(19, 1)",0.8,0.02,15,5955494591140296908,15,15,0,0.0,1,True,5,True,0.9586206896551724,SoC-Gen\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02__run_015.json
D026,SoC-Gen,"(19, 1)",0.8,0.02,16,4570743820568114951,34,34,0,0.0,1,True,5,True,0.9568819731777649,SoC-Gen\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02\D026__SoC-Gen__theta_19_1__pgen_0.8__prior_0.02__run_016.json
