theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(1,1)",0.1,0.02,1,1.0,0.0,0.0,0.0,0.0,0.0
"(1,1)",0.1,0.02,2,0.99,0.01,0.0,0.0,0.0,0.0
"(1,1)",0.1,0.02,3,0.97,0.02,0.01,0.0,0.0,0.0
"(1,1)",0.1,0.02,4,0.96,0.03,0.01,0.0,0.0,0.0
"(1,1)",0.1,0.02,5,0.94,0.03,0.02,0.01,0.0,0.0
"(1,1)",0.1,0.02,6,0.91,0.06,0.0,0.02,0.01,0.0
"(1,1)",0.1,0.02,7,0.86,0.07,0.04,0.02,0.01,0.0
"(1,1)",0.1,0.02,8,0.81,0.08,0.07,0.01,0.03,0.0
"(1,1)",0.1,0.02,9,0.78,0.06,0.06,0.07,0.01,0.02
"(1,1)",0.1,0.02,10,0.68,0.14,0.05,0.06,0.05,0.02
"(1,1)",0.1,0.02,11,0.6,0.14,0.1,0.09,0.03,0.04
"(1,1)",0.1,0.02,12,0.6,0.1,0.1,0.1,0.05,0.05
"(1,1)",0.1,0.02,13,0.55,0.12,0.05,0.13,0.09,0.06
"(1,1)",0.1,0.02,14,0.49,0.14,0.05,0.15,0.08,0.09
"(1,1)",0.1,0.02,15,0.47,0.1,0.1,0.07,0.12,0.14
"(1,1)",0.1,0.02,16,0.43,0.12,0.03,0.12,0.09,0.21
"(1,1)",0.1,0.02,17,0.36,0.16,0.05,0.1,0.12,0.21
"(1,1)",0.1,0.02,18,0.35,0.13,0.05,0.06,0.15,0.26
"(1,1)",0.1,0.02,19,0.33,0.11,0.05,0.06,0.12,0.33
"(1,1)",0.1,0.02,20,0.3,0.11,0.07,0.04,0.09,0.39
"(1,1)",0.1,0.02,21,0.26,0.13,0.05,0.06,0.07,0.43
"(1,1)",0.1,0.02,22,0.26,0.12,0.04,0.02,0.09,0.47
"(1,1)",0.1,0.02,23,0.24,0.1,0.06,0.03,0.03,0.54
"(1,1)",0.1,0.02,24,0.23,0.07,0.05,0.06,0.03,0.56
"(1,1)",0.1,0.02,25,0.2,0.08,0.05,0.07,0.02,0.58
"(1,1)",0.1,0.02,26,0.19,0.08,0.02,0.06,0.06,0.59
"(1,1)",0.1,0.02,27,0.19,0.05,0.04,0.02,0.06,0.64
"(1,1)",0.1,0.02,28,0.19,0.05,0.02,0.03,0.03,0.68
"(1,1)",0.1,0.02,29,0.19,0.04,0.03,0.02,0.02,0.7
"(1,1)",0.1,0.02,30,0.17,0.06,0.02,0.02,0.03,0.7
"(1,1)",0.1,0.02,31,0.15,0.07,0.02,0.01,0.03,0.72
"(1,1)",0.1,0.02,32,0.15,0.07,0.01,0.02,0.02,0.73
"(1,1)",0.1,0.02,33,0.13,0.09,0.0,0.02,0.03,0.73
"(1,1)",0.1,0.02,34,0.13,0.08,0.01,0.01,0.03,0.74
"(1,1)",0.1,0.02,35,0.13,0.08,0.01,0.01,0.02,0.75
"(1,1)",0.1,0.02,36,0.12,0.09,0.0,0.02,0.01,0.76
"(1,1)",0.1,0.02,37,0.12,0.09,0.0,0.02,0.0,0.77
"(1,1)",0.1,0.02,38,0.11,0.09,0.01,0.0,0.02,0.77
"(1,1)",0.1,0.02,39,0.11,0.07,0.02,0.01,0.01,0.78
"(1,1)",0.1,0.02,40,0.11,0.07,0.02,0.01,0.01,0.78
"(1,1)",0.1,0.02,41,0.11,0.07,0.01,0.01,0.02,0.78
"(1,1)",0.1,0.02,42,0.11,0.07,0.0,0.01,0.02,0.79
"(1,1)",0.1,0.02,43,0.11,0.07,0.0,0.01,0.0,0.81
"(1,1)",0.1,0.02,44,0.11,0.07,0.0,0.0,0.01,0.81
"(1,1)",0.1,0.02,45,0.09,0.09,0.0,0.0,0.01,0.81
"(1,1)",0.1,0.02,46,0.08,0.09,0.01,0.0,0.0,0.82
"(1,1)",0.1,0.02,47,0.08,0.07,0.03,0.0,0.0,0.82
"(1,1)",0.1,0.02,48,0.08,0.07,0.01,0.02,0.0,0.82
"(1,1)",0.1,0.02,49,0.08,0.07,0.01,0.02,0.0,0.82
