Child_ID,SoC_variant,theta,p_gen,true_prior,run_number,seed,attempts,unique_key_box_pairs,revisit_attempts,revisit_rate,attempts_before_abandoning_color_matching,color_matching_abandoned,boxes_opened,solved,final_theta,trajectory_file
D009,SoC-Full,"(1, 2)",0.9,0.02,1,8142407934257232447,39,24,15,0.39473684210526316,0,True,5,True,0.6566715254158858,SoC-Full\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_001.json
D009,SoC-Full,"(1, 2)",0.9,0.02,2,8497745522492655110,53,28,25,0.4807692307692308,1,True,5,True,0.6844180572213473,SoC-Full\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_002.json
D009,SoC-Full,"(1, 2)",0.9,0.02,3,8587282842398158584,34,29,5,0.15151515151515152,1,True,5,True,0.6342579777804805,SoC-Full\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_003.json
D009,SoC-Full,"(1, 2)",0.9,0.02,4,5117488521786971759,67,22,45,0.6818181818181818,1,True,5,True,0.4970606396732261,SoC-Full\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_004.json
D009,SoC-Full,"(1, 2)",0.9,0.02,5,899945831354962778,70,13,57,0.8260869565217391,1,True,2,False,0.22203927513381988,SoC-Full\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_005.json
D009,SoC-Full,"(1, 2)",0.9,0.02,6,1171798360882107308,28,21,7,0.25925925925925924,0,True,5,True,0.6085538304541147,SoC-Full\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_006.json
D009,SoC-Full,"(1, 2)",0.9,0.02,7,123611483780775652,36,27,9,0.2571428571428571,0,True,5,True,0.6211714596382973,SoC-Full\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_007.json
D009,SoC-Full,"(1, 2)",0.9,0.02,8,6834495987671408428,23,20,3,0.13636363636363635,0,True,5,True,0.6808377270972082,SoC-Full\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_008.json
D009,SoC-Full,"(1, 2)",0.9,0.02,9,4663119248309561206,70,27,43,0.6231884057971014,0,True,2,False,0.3455249216195111,SoC-Full\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_009.json
D009,SoC-Full,"(1, 2)",0.9,0.02,10,8475247120785357485,33,26,7,0.21875,1,True,5,True,0.7066666666666667,SoC-Full\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_010.json
D009,SoC-Full,"(1, 2)",0.9,0.02,11,8838076399534754737,9,9,0,0.0,1,True,5,True,0.6876107380329587,SoC-Full\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_011.json
D009,SoC-Full,"(1, 2)",0.9,0.02,12,3545305486467601985,40,27,13,0.3333333333333333,0,True,5,True,0.6035147263302851,SoC-Full\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_012.json
D009,SoC-Full,"(1, 2)",0.9,0.02,13,8367972922430306844,70,17,53,0.7681159420289855,0,True,1,False,0.1571273171792955,SoC-Full\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_013.json
D009,SoC-Full,"(1, 2)",0.9,0.02,14,5494948412482873731,26,20,6,0.24,0,True,5,True,0.6305220883534136,SoC-Full\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_014.json
D009,SoC-Full,"(1, 2)",0.9,0.02,15,2509077710633429083,24,20,4,0.17391304347826086,0,True,5,True,0.7162162162162161,SoC-Full\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_015.json
D009,SoC-Full,"(1, 2)",0.9,0.02,16,2638495406194842750,70,24,46,0.6666666666666666,2,True,2,False,0.26236802247837804,SoC-Full\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02\D009__SoC-Full__theta_1_2__pgen_0.9__prior_0.02__run_016.json
