Child_ID,SoC_variant,theta,p_gen,true_prior,run_number,seed,attempts,unique_key_box_pairs,revisit_attempts,revisit_rate,attempts_before_abandoning_color_matching,color_matching_abandoned,boxes_opened,solved,final_theta,trajectory_file
D006,SoC-Gen,"(19, 1)",0.3,0.02,1,2272285014492019345,24,23,1,0.043478260869565216,1,True,5,True,0.9497832217872627,SoC-Gen\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02__run_001.json
D006,SoC-Gen,"(19, 1)",0.3,0.02,2,6996832656087865368,19,19,0,0.0,0,True,5,True,0.9574175824175823,SoC-Gen\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02__run_002.json
D006,SoC-Gen,"(19, 1)",0.3,0.02,3,7099138179876687066,12,12,0,0.0,2,True,5,True,0.9563636637359991,SoC-Gen\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02__run_003.json
D006,SoC-Gen,"(19, 1)",0.3,0.02,4,4172138210527499272,16,16,0,0.0,2,True,5,True,0.9559346881829429,SoC-Gen\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02__run_004.json
D006,SoC-Gen,"(19, 1)",0.3,0.02,5,6644917240101991747,17,17,0,0.0,0,True,5,True,0.9575745583563403,SoC-Gen\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02__run_005.json
D006,SoC-Gen,"(19, 1)",0.3,0.02,6,8115068358437964641,20,20,0,0.0,0,True,5,True,0.956343792633015,SoC-Gen\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02__run_006.json
D006,SoC-Gen,"(19, 1)",0.3,0.02,7,1999776943402810703,19,19,0,0.0,1,True,5,True,0.9512350735164732,SoC-Gen\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02__run_007.json
D006,SoC-Gen,"(19, 1)",0.3,0.02,8,4955303457533742556,15,15,0,0.0,1,True,5,True,0.9574073168937979,SoC-Gen\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02__run_008.json
D006,SoC-Gen,"(19, 1)",0.3,0.02,9,2260190909458235811,16,16,0,0.0,2,True,5,True,0.9460510238086423,SoC-Gen\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02__run_009.json
D006,SoC-Gen,"(19, 1)",0.3,0.02,10,7755359742516763071,12,12,0,0.0,2,True,5,True,0.9564032697547684,SoC-Gen\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02__run_010.json
D006,SoC-Gen,"(19, 1)",0.3,0.02,11,1002540735080259623,22,22,0,0.0,0,True,5,True,0.9512855209742896,SoC-Gen\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02__run_011.json
D006,SoC-Gen,"(19, 1)",0.3,0.02,12,8678519295395356127,24,24,0,0.0,1,True,5,True,0.9369975789186874,SoC-Gen\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02__run_012.json
D006,SoC-Gen,"(19, 1)",0.3,0.02,13,510955545909725826,14,14,0,0.0,2,True,5,True,0.9575342465753424,SoC-Gen\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02__run_013.json
D006,SoC-Gen,"(19, 1)",0.3,0.02,14,3267440332485443051,20,18,2,0.10526315789473684,3,True,5,True,0.9574175824175823,SoC-Gen\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02__run_014.json
D006,SoC-Gen,"(19, 1)",0.3,0.02,15,1311934880406138370,14,14,0,0.0,0,True,5,True,0.9562841530054645,SoC-Gen\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02__run_015.json
D006,SoC-Gen,"(19, 1)",0.3,0.02,16,2111644016347157918,14,14,0,0.0,2,True,5,True,0.9516693774283908,SoC-Gen\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02__run_016.json
D006,SoC-Gen,"(19, 1)",0.3,0.02,17,7628340692275655598,16,16,0,0.0,1,True,5,True,0.9575745583563403,SoC-Gen\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02__run_017.json
D006,SoC-Gen,"(19, 1)",0.3,0.02,18,117382428035238273,11,11,0,0.0,2,True,5,True,0.9562841530054645,SoC-Gen\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02__run_018.json
D006,SoC-Gen,"(19, 1)",0.3,0.02,19,7507542290849297277,18,18,0,0.0,1,True,5,True,0.9587345254470426,SoC-Gen\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02__run_019.json
D006,SoC-Gen,"(19, 1)",0.3,0.02,20,715803725000342526,19,19,0,0.0,1,True,5,True,0.9450402144772118,SoC-Gen\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02__run_020.json
D006,SoC-Gen,"(19, 1)",0.3,0.02,21,2663537821796798233,13,13,0,0.0,0,True,5,True,0.9587912087912088,SoC-Gen\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02__run_021.json
D006,SoC-Gen,"(19, 1)",0.3,0.02,22,7481952872834557464,21,21,0,0.0,0,True,5,True,0.9527058919145677,SoC-Gen\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02__run_022.json
D006,SoC-Gen,"(19, 1)",0.3,0.02,23,5210429808292883372,14,14,0,0.0,2,True,5,True,0.955454900737772,SoC-Gen\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02__run_023.json
D006,SoC-Gen,"(19, 1)",0.3,0.02,24,6089829540209904182,18,18,0,0.0,2,True,5,True,0.9533094215289653,SoC-Gen\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02__run_024.json
D006,SoC-Gen,"(19, 1)",0.3,0.02,25,4343195547300155594,21,21,0,0.0,1,True,5,True,0.9548372305032717,SoC-Gen\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02\D006__SoC-Gen__theta_19_1__pgen_0.3__prior_0.02__run_025.json
